mode,name,elapsed_time,r_time,r_skipped,r_tests,r_failures,t_user,t_sys,t_wall
L0,nutz,43.766,33.502000000000024,10,2448,854,49.5,1.77,44.5
ST,nutz,36.166,30.87,8,2195,603,41.41,1.83,36.88
L0,antlr4,106,101.06300000000002,0,1585,629,191.23,11.52,107.07
ST,antlr4,108,103.11800000000001,0,1585,629,191.66,11.7,109.21
L0,Algorithms,1.128,0.09400000000000006,0,486,0,6.37,0.19,1.8
ST,Algorithms,0.992,0.04000000000000002,0,486,0,5.9,0.21,1.67
L0,undertow,152,85.39700000000003,7,669,0,106.59,11.99,152.93
ST,undertow,152,84.182,7,669,0,108.43,12.15,152.98
L0,GCViewer,5.640,3.469,3,330,0,24.5,0.7,6.32
ST,GCViewer,5.380,3.4100000000000006,3,330,0,22.83,0.55,6.06
L0,ambrose,4.019,1.428,0,18,0,14.76,0.38,4.74
ST,ambrose,4.253,1.478,0,18,0,15.28,0.44,5.01
L0,android-maven-plugin,22.855,12.505999999999998,11,95,6,46.75,1.3,23.71
ST,android-maven-plugin,22.574,12.457,11,95,6,43.68,1.14,23.41
L0,jsoup,2.235,0.2740000000000001,4,500,0,11.68,0.38,2.92
ST,jsoup,2.133,0.47400000000000003,3,510,0,11.27,0.32,2.84
