mode,name,elapsed_time,r_time,r_skipped,r_tests,r_failures,t_user,t_sys,t_wall
L0,nutz,44.195,33.19900000000002,10,2448,854,51.2,1.88,44.93
ST,nutz,36.276,30.823999999999998,8,2195,603,41.98,1.93,37.07
L0,antlr4,107,101.74000000000001,0,1585,629,195.42,11.85,107.81
ST,antlr4,106,101.65599999999998,0,1585,629,194.83,11.36,107.75
L0,Algorithms,0.997,0.08800000000000005,0,486,0,6.2,0.15,1.69
ST,Algorithms,1.090,0.016000000000000004,0,486,0,6.4,0.17,1.78
L0,undertow,155,85.85599999999998,7,669,0,110.17,12.86,156.7
ST,undertow,152,86.752,7,669,0,108.58,12.51,153.26
L0,GCViewer,11.506,7.66,3,330,0,26.28,0.71,12.19
ST,GCViewer,5.728,3.5399999999999996,3,330,0,23.69,0.62,6.41
L0,ambrose,4.312,1.587,0,18,0,15.2,0.48,5.06
ST,ambrose,4.272,1.419,0,18,0,15.61,0.48,4.99
L0,android-maven-plugin,31.333,16.045,11,95,6,48.97,1.09,32.18
ST,android-maven-plugin,22.649,12.448999999999998,11,95,6,45.48,1.13,23.53
L0,jsoup,3.132,0.3650000000000001,3,499,0,11.23,0.29,3.83
ST,jsoup,2.088,0.399,3,510,0,10.83,0.36,2.78
