subject,cpuness,label
alluxio,23.59,20-25
distributedlog,2.47,0-5
dropwizard,3.35,0-5
flink,37.63,35-40
guava,38.95,35-40
hadoop,9.25,5-10
hbase,20.52,20-25
hive,15.27,15-20
javaslang,17.38,15-20
jersey,27.19,25-30
jstorm,6.28,5-10
mahout,19.41,15-20
mapdb,8.86,5-10
mustache.java,20.15,20-25
neo4j,6.73,5-10
orientdb,16.48,15-20
pinot,6.17,5-10
presto,57.74,55-60
pulsar,2.66,0-5
titan,6.16,5-10
