subject,balance,label
alluxio,6.14,5-10
distributedlog,17.49,15-20
dropwizard,27.59,25-30
flink,8.53,5-10
guava,0.29,0-5
hadoop,18.58,15-20
hbase,16.96,15-20
hive,7.78,5-10
javaslang,0.07,0-5
jersey,26.15,25-30
jstorm,13.95,10-15
mahout,3.24,0-5
mapdb,2.52,0-5
mustache.java,10.14,10-15
neo4j,1.57,0-5
orientdb,3.78,0-5
pinot,14.0,10-15
presto,9.79,5-10
pulsar,12.91,10-15
titan,20.89,20-25
