name,compiled,tested,tests,suites,failures,runs,mvn_time_avg,mvn_time_sd,xml_time_avg,xml_time_sd,perc_failures,timecost_group,below_threshold
avro,SUCCESS,SUCCESS,3768,184,0,3,424.333333333333,13.0511813003013,197.666333333333,6.56579974819007,0.00,medium,T
cache2k,SUCCESS,SUCCESS,5119,100,0,3,140,9.53939201416946,212.443,8.01791375608393,0.00,medium,T
californium,SUCCESS,FAILURE,27,5,3,3,69,1.73205080756888,63.358,0.313510765365403,11.11,medium,F
chaos-http-proxy,SUCCESS,SUCCESS,21,3,0,3,94.3333333333333,5.5075705472861,83.3213333333333,7.9438815659181,0.00,medium,T
flink,SUCCESS,FAILURE,3349,300,2,3,205,22.2710574513201,185.765666666667,21.3699832085411,0.06,medium,T
hazelcast-jet,FAILURE,SUCCESS,1531,117,0,3,804.666666666667,235.551126792748,1128.14133333333,367.041235768317,0.00,long,T
javaparser,SUCCESS,SUCCESS,2375,218,0,3,330.333333333333,6.35085296108588,287.103333333333,4.64367164357392,0.00,medium,T
jcabi-github,SUCCESS,SUCCESS,643,159,0,3,75,10.5356537528527,177.489666666667,39.4471711322032,0.00,medium,T
mahout,SUCCESS,SUCCESS,3375,343,0,3,1735.66666666667,67.8699737242717,1847.501,74.8575222739839,0.00,long,T
mapdb,SUCCESS,SUCCESS,3697,178,0,3,624.666666666667,13.5769412362775,485.435666666667,9.86298825576369,0.00,long,T
opennlp,SUCCESS,SUCCESS,576,135,0,3,118.666666666667,6.50640709864771,164.155,7.75103057663946,0.00,medium,T
optaplanner,SUCCESS,SUCCESS,2406,392,0,3,454,14.1774468787578,683.498999999999,19.9204284090475,0.00,long,T
rultor,SUCCESS,FAILURE,142,66,3,3,35.957,4.54751327650618,71.299,6.2593225671793,2.11,medium,T
search-guard,SUCCESS,SUCCESS,88,15,0,3,332,13,899.514,37.0026700252834,0.00,long,T
takes,SUCCESS,SUCCESS,420,149,0,3,45.5483333333333,1.48628171398741,59.6933333333333,1.04146835445601,0.00,short,T
togglz,SUCCESS,SUCCESS,447,99,0,3,199,11.2694276695846,142.623,7.87909937746692,0.00,medium,T
twilio-java,SUCCESS,SUCCESS,2439,358,0,3,154.666666666667,4.50924975282289,933.245666666667,25.9452436938518,0.00,long,T
vavr,SUCCESS,SUCCESS,15568,139,0,3,253,24.576411454889,383.553,61.3038634671584,0.00,long,T
zxing,SUCCESS,SUCCESS,458,140,0,3,145.333333333333,3.78593889720018,178.867,4.11971855834836,0.00,medium,T
