"name","compiled","tested","tests","suites","failures","runs","mvn_time_avg","mvn_time_sd","xml_time_avg","xml_time_sd"
"JSQLParser_JSqlParser","SUCCESS","SUCCESS",531,35,0,3,9.01933333333333,0.0997613819738548,6.39866666666667,0.0466082968293561
"julianhyde_sqlline","SUCCESS","?",0,0,0,3,0,0,0,0
"kaitoy_pcap4j","SUCCESS","FAILURE",68,7,0,3,7.22133333333333,0.135651514305345,1.39366666666667,0.0297377425729214
"keepkey_multibit","FAILURE","FAILURE",0,0,0,3,0.343,0.0101488915650922,0,0
"keepkey_multibit-hd","SUCCESS","SUCCESS",148,36,0,3,89,0,82.8293333333334,0.465001433689564
"kenglxn_QRGen","SUCCESS","SUCCESS",64,7,0,3,4.047,0.0705336798983293,2.157,0.067446274915669
"keycloak_keycloak","FAILURE","FAILURE",758,146,0,3,709.333333333333,7.50555349946514,255.812,2.42841697408001
"kframework_k","SUCCESS","SUCCESS",228,47,0,3,135.333333333333,0.577350269189626,128.727,0.227330156380539
"khoubyari_spring-boot-rest-example","SUCCESS","SUCCESS",2,1,0,3,8.74366666666667,0.144942517341646,0.364666666666667,0.0259293913027925
"kiegroup_optaplanner","FAILURE","FAILURE",0,0,0,3,11.792,0.222542130842679,0,0
"killbill_killbill","FAILURE","FAILURE",151,1,0,3,309.333333333333,23.1156512634477,0.36,0.00608276253029822
"kite-sdk_kite","SUCCESS","SUCCESS",2394,200,0,3,1175.33333333333,7.37111479583199,1123.04233333333,4.70499419057414
"klout_brickhouse","SUCCESS","SUCCESS",35,10,0,3,12.306,1.94852046435238,10.8123333333333,1.95777177764247
"kolorobot_spring-mvc-quickstart-archetype","SUCCESS","SUCCESS",0,0,0,3,0.423666666666667,0.0205264057577875,0,0
"kongchen_swagger-maven-plugin","SUCCESS","SUCCESS",23,1,0,3,15.5796666666667,0.137551202587739,111.108333333333,1.33715157455441
"konsoletyper_teavm","FAILURE","FAILURE",1796,108,0,3,920.666666666667,8.32666399786453,3923.01633333333,189.232645791717
"ktoso_maven-git-commit-id-plugin","SUCCESS","SUCCESS",126,15,0,3,14.216,0.265535308386663,11.0836666666667,0.317506430381076
"kumuluz_kumuluzee","SUCCESS","SUCCESS",4,3,0,3,2.95066666666667,0.103664523021781,0.106666666666667,0.00152752523165195
"lambadaframework_lambadaframework","SUCCESS","FAILURE",82,11,1,3,4.02866666666667,0.0196553639837408,0.759666666666667,0.0187705443004015
"languagetool-org_languagetool","SUCCESS","SUCCESS",853,348,0,3,332.666666666667,3.05505046330389,291.248,2.600259410136
"larsga_Duke","SUCCESS","SUCCESS",671,70,0,3,12.612,0.0381051177665157,9.23366666666666,0.0231804515342839
"lastfm_musicbrainz-data","SUCCESS","FAILURE",34,6,2,3,1.403,0.051468436929831,0.098,0.001
"la-team_light-admin","SUCCESS","SUCCESS",43,14,0,3,3.74233333333333,0.0127410099024109,0.223666666666667,0.00472581562625261
"lejon_T-SNE-Java","SUCCESS","SUCCESS",20,3,0,3,204.333333333333,8.62167810425171,203.402,8.85747616423551
"lemire_javaewah","SUCCESS","SUCCESS",268,11,0,3,23.9056666666667,0.904177711146062,36.967,1.13856796020265
"lemire_JavaFastPFOR","SUCCESS","SUCCESS",52,11,0,3,20.8036666666667,0.169606407111681,18.7876666666667,0.12203414822636
"leonchen83_redis-replicator","SUCCESS","?",50,35,4,3,0,0,85.162,1.68411282282392
"libgdx_packr","SUCCESS","SUCCESS",0,0,0,3,0.971666666666667,0.0821360659718575,0,0
"ligboy_retrofit-converter-fastjson","SUCCESS","SUCCESS",3,1,0,3,3.224,0.0379868398264452,0.152333333333333,0.00404145188432738
"linkedin_pinot","SUCCESS","SUCCESS",637,222,0,3,3495,35.3836120259083,3010.52533333333,35.9396285781226
"linqs_psl","SUCCESS","SUCCESS",126,21,0,3,14.715,0.178160040413108,7.10833333333333,0.113103197714889
"lintool_warcbase","SUCCESS","SUCCESS",42,23,0,3,32.4283333333333,0.509898355884126,16.4663333333333,0.427729275749666
"linux-china_spring-boot-dubbo","FAILURE","FAILURE",0,0,0,3,1.085,0.0226495033058122,0,0
"LiveRamp_hank","SUCCESS","FAILURE",220,70,3,1,190,NA,182.773,NA
"LiveRamp_hank","SUCCESS","SUCCESS",220,70,0,2,160,1.4142135623731,152.3845,0.870448447640636
"livingsocial_HiveSwarm","SUCCESS","SUCCESS",0,0,0,3,1.00566666666667,0.00115470053837925,0,0
"liyifeng1994_ssm","FAILURE","FAILURE",0,0,0,3,0.979,0.0626976873576689,0,0
"lucko_LuckPerms","FAILURE","FAILURE",0,0,0,3,30.8536666666667,48.6279583401702,0,0
"lukehutch_fast-classpath-scanner","SUCCESS","SUCCESS",79,23,0,3,4.40733333333333,0.0323470761172214,1.426,0.0150996688705415
"MachinePublishers_jBrowserDriver","SUCCESS","SUCCESS",0,0,0,3,0.904,0.0115325625946708,0,0
"mangstadt_ez-vcard","SUCCESS","SUCCESS",954,97,0,3,8.42566666666667,0.0505997364947021,4.29266666666666,0.0467582434799826
"mappum_mercury","FAILURE","FAILURE",0,0,0,3,0.254333333333333,0.00321455025366432,0,0
"mapstruct_mapstruct","FAILURE","FAILURE",1523,192,0,3,298.666666666667,3.05505046330389,262.405333333333,3.1366581473494
"martylamb_nailgun","SUCCESS","SUCCESS",0,0,0,3,1.76966666666667,0.0483356321292412,0,0
"matsim-org_matsim","SUCCESS","SUCCESS",1802,484,0,3,258.666666666667,1.52752523165195,221.906666666667,0.601456842452711
"mauersu_redis-admin","SUCCESS","SUCCESS",0,0,0,3,1.03066666666667,0.0315647482697602,0,0
"maxmind_geoip-api-java","SUCCESS","SUCCESS",11,9,0,3,1.96333333333333,0.00665832811847943,0.00266666666666667,0.00152752523165195
"mbechler_marshalsec","SUCCESS","FAILURE",16,1,16,3,4.71933333333333,0.140969263789428,2.97633333333333,0.137928725555387
"mcMMO-Dev_mcMMO","SUCCESS","SUCCESS",0,0,0,3,1.24,0.0566656862660288,0,0
"medcl_elasticsearch-analysis-ik","SUCCESS","SUCCESS",0,0,0,3,1.41833333333333,0.0911336015602002,0,0
"medcl_elasticsearch-analysis-mmseg","SUCCESS","SUCCESS",0,0,0,3,1.318,0.00818535277187247,0,0
"melin_super-diamond","SUCCESS","FAILURE",4,1,4,3,1.34333333333333,0.0205020324195758,0.198666666666667,0.00929157324317756
"mesos_hadoop","SUCCESS","SUCCESS",0,0,0,3,0.902,0.0185202591774522,0,0
"mesosphere_cassandra-mesos-deprecated","?","?",0,0,0,3,0,0,0,0
"mesos_storm","SUCCESS","SUCCESS",32,8,0,3,3.85166666666667,0.120001388880851,0.466333333333333,0.00709459888459759
"Microsoft_Git-Credential-Manager-for-Mac-and-Linux","SUCCESS","SUCCESS",64,14,0,3,21.3926666666667,0.0437759446880741,17.116,0.0249999999999986
"mikereedell_sunrisesunsetlib-java","SUCCESS","SUCCESS",20,4,0,3,1.996,0.0375099986670222,0.795333333333333,0.0213853532431273
"mikiobraun_jblas","SUCCESS","SUCCESS",120,14,0,3,3.75,0.0573759531511241,0.0883333333333333,0.00702376916856849
"mirkonasato_graphipedia","SUCCESS","SUCCESS",0,0,0,3,0.758333333333333,0.015502687938978,0,0
"mitre_HTTP-Proxy-Servlet","SUCCESS","SUCCESS",56,3,0,3,17.764,0.0398371685740836,16.152,0.0121243556529795
"ModeShape_modeshape","FAILURE","FAILURE",6159,232,32,3,481.333333333333,1.15470053837925,450.310666666666,1.06246192088649
"mongojack_mongojack","SUCCESS","SUCCESS",714,21,0,3,16.2073333333333,0.183022767254058,12.9576666666667,0.155101042334773
"mono_sharpen","SUCCESS","FAILURE",278,38,25,3,7.98366666666667,0.341827929422587,6.54133333333333,0.296833848025008
"Moocar_logback-gelf","SUCCESS","SUCCESS",4,1,0,3,10.7366666666667,0.208433042805917,0.233666666666667,0.00503322295684716
"movsim_movsim","SUCCESS","SUCCESS",61,10,0,3,5.122,0.120449159399308,0.277666666666667,0.00503322295684717
"mp911de_CleanArchitecture","SUCCESS","SUCCESS",10,4,0,3,4.20566666666667,0.0186100331362771,1.81566666666667,0.00321455025366417
"mpatric_mp3agic","SUCCESS","SUCCESS",353,24,0,3,1.91833333333333,0.0265769323537036,0.172666666666667,0.00493288286231625
"Multibit-Legacy_multibit","FAILURE","FAILURE",0,0,0,3,0.349333333333333,0.0241108550933668,0,0
"Multibit-Legacy_multibit-hd","SUCCESS","SUCCESS",148,36,0,3,89.3333333333333,1.15470053837925,83.0856666666667,1.56004818301658
"Multiverse_Multiverse-Core","SUCCESS","SUCCESS",11,6,0,3,77.3923333333333,69.2800007241147,15.2753333333333,0.391971087369124
"mvogiatzis_first-stories-twitter","SUCCESS","SUCCESS",11,3,0,3,1.25466666666667,0.0672631647585313,0.0223333333333333,0.000577350269189624
"mybatis_jpetstore-6","SUCCESS","SUCCESS",4,3,0,3,6.11266666666667,0.170579404774824,0.918,0.0308058436014987
"NanoHttpd_nanohttpd","SUCCESS","SUCCESS",239,34,0,3,60.6666666666667,0.577350269189626,18.19,0.36159784291392
"NationalSecurityAgency_lemongrenade","FAILURE","FAILURE",0,0,0,3,0.546,0.00700000000000001,0,0
"nativelibs4java_BridJ","SUCCESS","FAILURE",456,45,1,3,49.8176666666667,0.208164198010446,22.425,0.333342166549628
"nativelibs4java_JNAerator","SUCCESS","SUCCESS",330,17,0,3,35.8243333333333,0.405410080453524,31.4186666666667,0.370937101586419
"neo4j-contrib_neoclipse","?","?",0,0,0,3,0,0,0,0
