project_path,test_success,maven_test_time,xml_test_time,overhead_time,is_sequential
/home/lhsm/regression-test-eval/subjects/chocoteam_choco-solver,false,1052,1050,2,true
/home/lhsm/regression-test-eval/subjects/khoubyari_spring-boot-rest-example,true,7,0,7,true
/home/lhsm/regression-test-eval/subjects/jenkinsci_mesos-plugin,true,22,2,20,true
/home/lhsm/regression-test-eval/subjects/kongchen_swagger-maven-plugin,true,8,4,4,true
/home/lhsm/regression-test-eval/subjects/awslabs_dynamodb-transactions,true,3,1,2,true
/home/lhsm/regression-test-eval/subjects/bmwcarit_barefoot,false,3,1,2,true
/home/lhsm/regression-test-eval/subjects/andrewgaul_s3proxy,true,50,58,-8,false
/home/lhsm/regression-test-eval/subjects/twitter_hraven,false,31,22,10,true
/home/lhsm/regression-test-eval/subjects/sirensolutions_siren-join,true,17,15,2,true
/home/lhsm/regression-test-eval/subjects/im-qq_netty-chat,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/torquebox_jruby-maven-plugins,false,10,4,6,true
/home/lhsm/regression-test-eval/subjects/ImmobilienScout24_yum-repo-server,true,32,29,3,true
/home/lhsm/regression-test-eval/subjects/tamingtext_book,false,75,59,16,true
/home/lhsm/regression-test-eval/subjects/httl_httl,false,44,44,1,false
/home/lhsm/regression-test-eval/subjects/im-qq_webqq-core,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/javaparser_javaparser,false,1,0,1,true
/home/lhsm/regression-test-eval/subjects/spotify_apollo,true,28,23,6,true
/home/lhsm/regression-test-eval/subjects/Red5_red5-server,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/spring-projects_spring-boot,false,21,3,19,true
/home/lhsm/regression-test-eval/subjects/ysc_HtmlExtractor,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/apache_incubator-brooklyn,false,97,48,49,true
/home/lhsm/regression-test-eval/subjects/4pr0n_ripme,false,1,0,1,true
/home/lhsm/regression-test-eval/subjects/Berico-Technologies_CLAVIN,false,10,8,2,true
/home/lhsm/regression-test-eval/subjects/trautonen_coveralls-maven-plugin,true,5,1,4,true
/home/lhsm/regression-test-eval/subjects/andrewgaul_modernizer-maven-plugin,true,3,0,2,true
/home/lhsm/regression-test-eval/subjects/basho_riak-java-client,true,40,34,6,true
/home/lhsm/regression-test-eval/subjects/yahoo_samoa,true,45,41,4,true
/home/lhsm/regression-test-eval/subjects/jenkinsci_github-plugin,true,3146,3102,44,true
/home/lhsm/regression-test-eval/subjects/ysc_superword,true,2,0,2,true
/home/lhsm/regression-test-eval/subjects/yinwang0_rubysonar,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/timmolter_XChange,true,88,79,9,true
/home/lhsm/regression-test-eval/subjects/andsel_moquette,true,87,84,3,true
/home/lhsm/regression-test-eval/subjects/jbarrez_spring-boot-with-activiti-example,true,16,0,16,true
/home/lhsm/regression-test-eval/subjects/NanoHttpd_nanohttpd,true,22,13,10,true
/home/lhsm/regression-test-eval/subjects/jobop_anylog,true,2,0,2,true
/home/lhsm/regression-test-eval/subjects/davidmoten_geo,true,3,2,2,true
/home/lhsm/regression-test-eval/subjects/github_maven-plugins,true,2,1,2,true
/home/lhsm/regression-test-eval/subjects/eclipse_jetty.project,false,783,721,62,true
/home/lhsm/regression-test-eval/subjects/apache_incubator-metron,false,253,206,47,true
/home/lhsm/regression-test-eval/subjects/hibernate_hibernate-search,false,1,0,1,true
/home/lhsm/regression-test-eval/subjects/spring-projects_spring-data-redis,false,613,544,69,true
/home/lhsm/regression-test-eval/subjects/jline_jline2,true,6,1,5,true
/home/lhsm/regression-test-eval/subjects/spinscale_elasticsearch-opennlp-plugin,false,63,62,1,true
/home/lhsm/regression-test-eval/subjects/BoD_android-contentprovider-generator,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/protegeproject_webprotege,true,7,2,5,true
/home/lhsm/regression-test-eval/subjects/jitsi_jitsi-videobridge,true,4,2,2,true
/home/lhsm/regression-test-eval/subjects/apache_bigtop,true,0,0,0,false
/home/lhsm/regression-test-eval/subjects/lintool_warcbase,true,27,16,11,true
/home/lhsm/regression-test-eval/subjects/apereo_java-cas-client,true,6,3,3,true
/home/lhsm/regression-test-eval/subjects/mcMMO-Dev_mcMMO,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/java8_Java8InAction,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/angusws_tcx2nikeplus,false,6,5,1,true
/home/lhsm/regression-test-eval/subjects/eirslett_frontend-maven-plugin,true,2,0,2,true
/home/lhsm/regression-test-eval/subjects/mybatis_jpetstore-6,true,4,0,4,true
/home/lhsm/regression-test-eval/subjects/cloudera_kitten,false,5,4,1,true
/home/lhsm/regression-test-eval/subjects/chocotan_lolibox,false,19,0,19,true
/home/lhsm/regression-test-eval/subjects/xSAVIKx_AndroidScreencast,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/forge_core,false,2584,2663,-78,false
/home/lhsm/regression-test-eval/subjects/keepkey_multibit-hd,true,84,78,6,true
/home/lhsm/regression-test-eval/subjects/apache_tinkerpop,false,4,0,4,true
/home/lhsm/regression-test-eval/subjects/astarring_mybatis-generator-gui,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/takari_polyglot-maven,false,19,9,10,true
/home/lhsm/regression-test-eval/subjects/redpen-cc_redpen,true,35,30,5,true
/home/lhsm/regression-test-eval/subjects/reficio_p2-maven-plugin,true,5,0,5,true
/home/lhsm/regression-test-eval/subjects/BatooOrg_BatooJPA,true,2,0,2,true
/home/lhsm/regression-test-eval/subjects/ktoso_maven-git-commit-id-plugin,true,11,8,3,true
/home/lhsm/regression-test-eval/subjects/medcl_elasticsearch-analysis-ik,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/armzilla_amazon-echo-ha-bridge,true,8,0,8,true
/home/lhsm/regression-test-eval/subjects/pires_obd-java-api,true,2,0,2,true
/home/lhsm/regression-test-eval/subjects/swagger-api_swagger-core,true,13,7,6,true
/home/lhsm/regression-test-eval/subjects/RUB-NDS_WS-Attacker,true,33,25,8,true
/home/lhsm/regression-test-eval/subjects/paulc4_microservices-demo,true,8,0,8,true
/home/lhsm/regression-test-eval/subjects/apache_eagle,true,688,361,327,true
/home/lhsm/regression-test-eval/subjects/awslabs_dynamodb-cross-region-library,true,6,0,5,true
/home/lhsm/regression-test-eval/subjects/jsonld-java_jsonld-java,true,56,53,2,true
/home/lhsm/regression-test-eval/subjects/HotswapProjects_HotswapAgent,false,3,1,2,true
/home/lhsm/regression-test-eval/subjects/davidmoten_rtree,true,9,7,2,true
/home/lhsm/regression-test-eval/subjects/tbroyer_gwt-maven-archetypes,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/clojure_clojure,true,69,0,69,true
/home/lhsm/regression-test-eval/subjects/psi-probe_psi-probe,false,0,0,0,false
/home/lhsm/regression-test-eval/subjects/apache_incubator-guacamole-client,true,11,0,10,true
/home/lhsm/regression-test-eval/subjects/olivergierke_spring-restbucks,false,20,13,7,true
/home/lhsm/regression-test-eval/subjects/BroadleafCommerce_BroadleafCommerce,true,33,20,12,true
/home/lhsm/regression-test-eval/subjects/shyiko_mysql-binlog-connector-java,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/wks_ik-analyzer,false,0,0,0,false
/home/lhsm/regression-test-eval/subjects/mvogiatzis_first-stories-twitter,true,1,0,1,true
