project,time
Netflix_curator,1.515
Netflix_curator,2.103
Netflix_curator,1.072
Netflix_curator,1.236
Netflix_curator,1.458
Netflix_curator,1.025
Netflix_curator,1.026
Netflix_curator,1.468
Netflix_curator,2.113
Netflix_curator,1.028
Netflix_curator,1.22
Netflix_curator,1.211
Netflix_curator,1.221
Netflix_curator,1.019
Netflix_curator,1.219
Netflix_curator,1.29
Netflix_curator,6.03
Netflix_curator,1.227
Netflix_curator,11.019
Netflix_curator,1.158
Netflix_curator,1.019
Netflix_curator,1.015
Netflix_curator,0.034
Netflix_curator,0.012
Netflix_curator,0.026
Netflix_curator,0.204
Netflix_curator,0.103
Netflix_curator,0.203
Netflix_curator,0.024
Netflix_curator,5.024
Netflix_curator,0.109
Netflix_curator,10.18
Netflix_curator,0.151
Netflix_curator,0.003
Netflix_curator,0.003
Netflix_curator,0.002
Netflix_curator,1.501
Netflix_curator,0
Netflix_curator,0.001
Netflix_curator,0
Netflix_curator,0.004
notnoop_java-apns,0.239
notnoop_java-apns,0.001
notnoop_java-apns,0.002
notnoop_java-apns,0.001
notnoop_java-apns,0.001
notnoop_java-apns,0.001
notnoop_java-apns,0.003
notnoop_java-apns,0.011
notnoop_java-apns,0.002
notnoop_java-apns,0.006
notnoop_java-apns,0
notnoop_java-apns,0
notnoop_java-apns,0
notnoop_java-apns,2.257
notnoop_java-apns,5.253
notnoop_java-apns,3.253
notnoop_java-apns,0.151
notnoop_java-apns,0.13
notnoop_java-apns,0.131
notnoop_java-apns,0.125
notnoop_java-apns,0.148
notnoop_java-apns,0.001
notnoop_java-apns,0.044
notnoop_java-apns,0.002
notnoop_java-apns,0.001
notnoop_java-apns,16.494
notnoop_java-apns,5.683
notnoop_java-apns,1.164
notnoop_java-apns,1.151
notnoop_java-apns,1.121
notnoop_java-apns,1.15
notnoop_java-apns,2.259
notnoop_java-apns,1.254
notnoop_java-apns,1.11
notnoop_java-apns,1.61
notnoop_java-apns,1.269
notnoop_java-apns,1.104
notnoop_java-apns,0
notnoop_java-apns,0
notnoop_java-apns,0
notnoop_java-apns,5.122
notnoop_java-apns,0.029
