project_path,test_success,maven_test_time,xml_test_time,overhead_time
alibaba_druid,false,0,0,0
alibaba_dubbo,false,1.223,0,1.223
alibaba_tamper,true,1.551,0.5670000000000001,0.9839999999999999
aliyun_aliyun-oss-java-sdk,false,10.529,9.815999999999997,0.7130000000000027
allegro_grunt-maven-plugin,true,2.097,0.353,1.744
allwefantasy_ServiceFramework,false,0.34,0,0.34
amaembo_huntbugs,true,9.632,6.417000000000001,3.214999999999999
amelentev_java-oo,false,2.772,0,2.772
amplab_succinct,true,62.618,31.349000000000007,31.268999999999995
amznlabs_ion-java,false,3.928,0.4330000000000001,3.4949999999999997
analytically_innerbuilder,false,0.743,0,0.743
andrewgaul_modernizer-maven-plugin,true,2.872,0.14,2.7319999999999998
andrewgaul_s3proxy,true,49.478,48.83,0.6480000000000032
andsel_moquette,true,231.583,228.536,3.046999999999997
angusws_tcx2nikeplus,false,5.143,4.3,0.843
antlr4ide_antlr4ide,true,52.385,0.334,52.050999999999995
antlr_codebuff,true,0.781,0,0.781
antlr_stringtemplate4,false,1.023,0,1.023
apache_accumulo,false,0,0,0
apache_activemq-artemis,false,0.71,0,0.71
apache_apex-core,false,432.642,420.0060000000001,12.63599999999991
apache_archiva,false,551.676,486.5,65.17600000000004
apache_beam,false,0.829,0,0.829
apache_bigtop,true,0.479,0,0.479
apache_bookkeeper,false,4.679,0.077,4.602
apache_eagle,true,756.688,378.0819999999997,378.6060000000003
apache_flink,false,154.338,610.883,-456.5450000000001
apache_flume,true,2804.613,2845.883,-41.2699999
Adobe-Consulting-Services_acs-aem-commons,false,0,0,0
CorfuDB_CorfuDB,false,1.074,0,1.074
Netflix_Surus,false,0.55,0,0.55
NoCheatPlus_NoCheatPlus,false,0.403,0,0.403
OpenGamma_Strata,false,0.54,0,0.54
alibaba_druid,false,0,0,0
antlr_stringtemplate4,false,1.14,0,1.14
apache_accumulo,false,0,0,0
apache_activemq-artemis,false,0.702,0,0.702
apache_beam,false,0.735,0,0.735
apache_giraph,true,1056.684,978.579,78.10500000000002
apache_incubator-brooklyn,false,101.537,49.04200000000001,52.495
apache_incubator-guacamole-client,false,9.952,0.042,9.91
apache_incubator-metron,false,198.049,145.87000000000006,52.178999999999945
apache_incubator-samoa,true,57.833,52.029,5.803999999999995
apache_jackrabbit,true,416.294,400.7039999999999,15.590000000000089
apache_jackrabbit-oak,false,2919.335,2902.3670000000106,16.967999999989388
apache_logging-log4j2,false,492.705,276.6949999999999,216.0100000000001
apache_mahout,false,0.438,0,0.438
apache_maven,true,40.996,12.680999999999992,28.315000000000012
apache_maven-surefire,false,0.581,1.1390000000000002,-0.5580000000000003
apache_mina,true,47.053,41.90999999999998,5.143000000000015
apache_nifi,false,2.341,0,2.341
apache_opennlp,false,0.628,0,0.628
apache_parquet-mr,false,84.981,49.211,35.769999999999996
apache_pdfbox,false,29.714,27.17100000000001,2.5429999999999886
apache_sling,false,1142.235,888.1039999999986,254.13100000000134
apache_stanbol,false,221.02100000000002,129.89100000000002,91.13
apache_tika,true,257.507,235.08300000000008,22.42399999999992
apache_tomee,false,58.954,17.605,41.349000000000004
apache_wicket,true,157.05599999999998,107.40600000000016,49.64999999999982
apereo_java-cas-client,true,6.535,3.0049999999999977,3.5300000000000025
apiman_apiman,false,99.069,26.080999999999992,72.98800000000001
armzilla_amazon-echo-ha-bridge,true,9.325,0.003,9.322
arnaudroger_SimpleFlatMapper,false,8.065,3.303999999999998,4.761000000000001
aseldawy_spatialhadoop2,true,17.989,16.62,1.3689999999999998
astamuse_asta4d,false,40.564,7.248,33.316
asterisk-java_asterisk-java,false,0.692,0,0.692
atilika_kuromoji,true,474.593,105.52099999999997,369.07200000000006
atomix_atomix,true,487.776,480.38500000000005,7.390999999999963
aws_aws-sdk-android,false,908.479,888.6769999999984,19.802000000001613
aws_aws-sdk-java,true,290.6,245.37999999999997,45.220000000000056
awslabs_amazon-kinesis-client,true,15.779,11.881,3.8979999999999997
awslabs_amazon-kinesis-connectors,true,3.26,1.682,1.5779999999999998
awslabs_aws-apigateway-importer,true,4.05,1.5579999999999998,2.492
awslabs_dynamodb-cross-region-library,true,5.502,0.294,5.208
awslabs_dynamodb-transactions,true,2.724,0.94,1.7840000000000003
b3log_symphony,false,0.205,0,0.205
basho_riak-java-client,true,40.06,33.56900000000001,6.4909999999999926
bazaarvoice_jolt,true,45.207,1.1520000000000001,44.055
benas_jql,true,11.061,5.307,5.754
bitcoinj_bitcoinj,false,70.605,64.582,6.02300000000001
