overhead_time,project_path,timecost_group,test_success,selection_group,xml_test_time,maven_test_time
3.9590000000000316,Tesco_mewbase,medium,true,testable,147.08399999999997,151.043
1.481,TheHolyWaffle_TeamSpeak-3-Java-API,short,true,untestable,0,1.481
0.5929999999999964,UglyTroLL_Douban-Java-SDK-OAuth2,short,false,testable,32.464000000000006,33.057
0.929,WebGoat_WebGoat-Legacy,short,true,untestable,0,0.929
333.354,XiaoMi_linden,short,true,testable,21.800000000000004,355.154
1.168,a2888409_face2face,short,true,untestable,0,1.168
2.2910000000000004,aaberg_sql2o,short,false,testable,5.268,7.559
0.6400000000000006,abc9070410_JComicDownloader,short,true,testable,12.838,13.478
272.91700000000003,abel533_MyBatis-Spring-Boot,short,false,testable,0.037,272.954
1.387999999999991,addthis_stream-lib,medium,true,testable,88.53500000000001,89.923
9.013000000000005,aerogear_aerogear-unifiedpush-server,medium,false,testable,139.51399999999998,148.527
2.0779999999999994,aggregateknowledge_java-hll,short,true,testable,7.064,9.142
14.444999999999999,agoncal_agoncal-book-javaee7,short,false,testable,0.9570000000000001,15.402
0.327,ajanata_PretendYoureXyzzy,short,false,untestable,0,0.327
15.57,ajermakovics_eclipse-instasearch,short,true,untestable,0,15.57
0,alibaba_druid,short,false,untestable,0,0
1.223,alibaba_dubbo,short,false,untestable,0,1.223
0.9839999999999999,alibaba_tamper,short,true,testable,0.5670000000000001,1.551
0.7130000000000027,aliyun_aliyun-oss-java-sdk,short,false,testable,9.815999999999997,10.529
1.744,allegro_grunt-maven-plugin,short,true,testable,0.353,2.097
0.34,allwefantasy_ServiceFramework,short,false,untestable,0,0.34
3.214999999999999,amaembo_huntbugs,short,true,testable,6.417000000000001,9.632
2.772,amelentev_java-oo,short,false,untestable,0,2.772
31.268999999999995,amplab_succinct,short,true,testable,31.349000000000007,62.618
3.4949999999999997,amznlabs_ion-java,short,false,testable,0.4330000000000001,3.928
0.743,analytically_innerbuilder,short,false,untestable,0,0.743
2.7319999999999998,andrewgaul_modernizer-maven-plugin,short,true,testable,0.14,2.872
0.6480000000000032,andrewgaul_s3proxy,short,true,testable,48.83,49.478
3.046999999999997,andsel_moquette,medium,true,testable,228.536,231.583
0.843,angusws_tcx2nikeplus,short,false,testable,4.3,5.143
52.050999999999995,antlr4ide_antlr4ide,short,true,testable,0.334,52.385
0.781,antlr_codebuff,short,true,untestable,0,0.781
1.023,antlr_stringtemplate4,short,false,untestable,0,1.023
0,apache_accumulo,short,false,untestable,0,0
0.71,apache_activemq-artemis,short,false,untestable,0,0.71
12.63599999999991,apache_apex-core,long,false,testable,420.0060000000001,432.642
65.17600000000004,apache_archiva,long,false,testable,486.5,551.676
0.829,apache_beam,short,false,untestable,0,0.829
0.479,apache_bigtop,short,true,untestable,0,0.479
4.602,apache_bookkeeper,short,false,testable,0.077,4.679
378.6060000000003,apache_eagle,long,true,testable,378.0819999999997,756.688
-456.5450000000001,apache_flink,long,false,testable,610.883,154.338
-41.2699999,apache_flume,long,true,testable,2845.883,2804.613
