name,exec_id,compiled,tested,mvn_test_time,xml_time,tests,suites,failures
beijunyi_ParallelGit,23012019015951,SUCCESS,SUCCESS,9.656,6.2419999999999956,854,140,0
dcaoyuan_nbscala,23012019015951,SUCCESS,SUCCESS,72,0.351,5,1,0
spring-cloud_spring-cloud-kubernetes,23012019015951,SUCCESS,SUCCESS,188,152.566,115,39,0
confluentinc_kafka-streams-examples,23012019015951,SUCCESS,SUCCESS,730,526.718,65,39,0
ThreeTen_threetenbp,23012019015951,SUCCESS,SUCCESS,14.092,9.428,17812,1,0
gaul_are-we-consistent-yet,23012019015951,SUCCESS,SUCCESS,6.289,1.444,5,1,0
NGDATA_hbase-indexer,23012019015951,SUCCESS,SUCCESS,1577,1337.0300000000002,265,41,0
JnRouvignac_AutoRefactor,23012019015951,SUCCESS,SUCCESS,118,72.13300000000001,143,8,0
mojohaus_versions-maven-plugin,23012019015951,SUCCESS,SUCCESS,10.682,0.6880000000000001,94,12,0
kiegroup_optaplanner,23012019015951,SUCCESS,SUCCESS,294,454.9739999999993,2397,392,0
alibaba_nacos,23012019015951,SUCCESS,SUCCESS,22.52,3.6109999999999998,19,11,2
vaadin_framework,23012019015951,SUCCESS,SUCCESS,366,139.99300000000002,3680,515,0
rapidoid_rapidoid,23012019015951,SUCCESS,SUCCESS,545,463.3169999999998,476,180,0
camunda_camunda-bpm-spring-boot-starter,23012019015951,SUCCESS,SUCCESS,129,7.442,109,32,0
cflint_CFLint,23012019015951,SUCCESS,SUCCESS,63,56.763999999999996,610,67,0
fpj_zookeeper-book-example,23012019015951,SUCCESS,FAILURE,83,80.93799999999999,16,5,1
withstars_Blog-System,23012019015951,SUCCESS,SUCCESS,1.247,0,0,0,0
dropwizard_metrics,23012019015951,SUCCESS,SUCCESS,50.181,30.596999999999994,566,94,0
kohsuke_file-leak-detector,23012019015951,SUCCESS,SUCCESS,4.87,1.2850000000000001,17,5,0
temyers_cucumber-jvm-parallel-plugin,23012019015951,SUCCESS,SUCCESS,5.498,0.399,97,11,0
zalando_logbook,23012019015951,SUCCESS,SUCCESS,64,26.632000000000016,551,104,0
spotify_styx,23012019015951,SUCCESS,SUCCESS,422,338.2230000000001,1129,116,0
sentilo_sentilo,23012019015951,SUCCESS,SUCCESS,212,99.67699999999998,1032,211,0
OpenHFT_Chronicle-Wire,23012019015951,SUCCESS,SUCCESS,104,37.478000000000016,2408,116,0
facebook_jcommon,23012019015951,SUCCESS,SUCCESS,60,54.599999999999994,695,103,0
apache_flume,23012019015951,SUCCESS,SUCCESS,3312,3008.965999999999,1330,187,1
speedment_speedment,23012019015951,SUCCESS,SUCCESS,68,25.917,1323,131,0
apache_oozie,23012019015951,SUCCESS,FAILURE,3346,3323.3160000000025,2922,421,1
splicemachine_spliceengine,23012019015951,SUCCESS,SUCCESS,1.083,0,0,0,0
bouncestorage_chaos-http-proxy,23012019015951,SUCCESS,SUCCESS,76,71.902,19,2,0
neo4j_neo4j-java-driver,23012019015951,SUCCESS,SUCCESS,63,42.768000000000015,1717,144,0
deeplearning4j_dl4j-examples,23012019015951,SUCCESS,SUCCESS,866,0,0,0,0
ff4j_ff4j,23012019015951,SUCCESS,SUCCESS,397,231.20700000000008,3623,171,0
NanoHttpd_nanohttpd,23012019015951,SUCCESS,SUCCESS,33.76,18.314999999999998,239,34,0
easymock_easymock,23012019015951,SUCCESS,SUCCESS,17.326,4.9769999999999985,675,101,0
apache_incubator-edgent,23012019015951,SUCCESS,SUCCESS,548,429.2799999999999,494,56,0
brianway_webporter,23012019015951,SUCCESS,SUCCESS,5.2,0.911,17,10,0
awslabs_amazon-kinesis-aggregators,23012019015951,SUCCESS,SUCCESS,1.108,0,0,0,0
jenkinsci_configuration-as-code-plugin,23012019015951,SUCCESS,SUCCESS,114,82.758,101,42,0
togglz_togglz,23012019015951,SUCCESS,SUCCESS,140,98.90900000000005,447,99,0
eBay_parallec,23012019015951,SUCCESS,SUCCESS,142,120.47399999999999,136,51,0
kite-sdk_kite,23012019015951,SUCCESS,SUCCESS,2121,2027.5919999999994,2402,201,0
Sable_soot,23012019015951,SUCCESS,SUCCESS,126,69.11000000000001,272,63,0
j-easy_easy-batch,23012019015951,SUCCESS,SUCCESS,46.149,25.537999999999993,341,133,0
klarna_HiveRunner,23012019015951,SUCCESS,SUCCESS,686,638.0560000000003,270,62,0
ottogroup_flink-spector,23012019015951,SUCCESS,SUCCESS,44.06,46.550000000000004,211,44,0
BaseXdb_basex,23012019015951,SUCCESS,SUCCESS,272,165.07399999999996,2074,198,0
floragunncom_search-guard,23012019015951,SUCCESS,SUCCESS,242,651.7570000000001,86,15,0
apache_hama,23012019015951,SUCCESS,SUCCESS,292,0.3040000000000002,169,62,0
xuminwlt_j360-dubbo-app-all,23012019015951,SUCCESS,SUCCESS,8.887,0,0,0,0
owlcs_owlapi,23012019015952,SUCCESS,SUCCESS,224,50.02699999999997,6409,215,0
eclipse_hawkbit,23012019015952,SUCCESS,SUCCESS,659,612.642,1067,108,0
HotelsDotCom_styx,23012019015952,SUCCESS,SUCCESS,353,480.92799999999994,259,81,0
vavr-io_vavr,23012019015952,SUCCESS,SUCCESS,178,314.947,23136,145,0
gaul_modernizer-maven-plugin,23012019015952,SUCCESS,SUCCESS,5.453,0.29,26,2,0
zalando_problem-spring-web,23012019015952,SUCCESS,SUCCESS,68,16.118,346,52,0
rhuss_jolokia,23012019015952,SUCCESS,SUCCESS,66,22.04,633,24,0
gearman_java-service,23012019015952,SUCCESS,SUCCESS,3.939,0,0,0,0
broadgsa_gatk,23012019015952,SUCCESS,SUCCESS,29.324,0,0,0,0
Atmosphere_nettosphere,23012019015952,SUCCESS,SUCCESS,44.419,53.412000000000006,29,4,0
itext_itext7,23012019015952,SUCCESS,SUCCESS,11.521,0,0,0,0
mrwilson_byte-monkey,23012019015952,SUCCESS,SUCCESS,12.908,5.049999999999999,13,13,0
alipay_sofa-ark,23012019015952,SUCCESS,SUCCESS,27.156,6.628000000000001,99,38,0
nuls-io_nuls,23012019015952,SUCCESS,SUCCESS,8.96,0,0,0,0
ning_compress,23012019015952,SUCCESS,SUCCESS,7.594,2.119,44,1,0
kubernetes-client_java,23012019015952,SUCCESS,SUCCESS,92,15.118999999999994,162,76,0
OpenHFT_Chronicle-Queue,23012019015952,SUCCESS,SUCCESS,190,141.472,423,84,0
shred_acme4j,23012019015952,SUCCESS,SUCCESS,20.851,11.710000000000003,186,41,0
teamed_qulice,23012019015952,SUCCESS,SUCCESS,156,32.913999999999994,147,19,0
