name,compiled,tested,tests,suites,failures,runs,mvn_time_avg,mvn_time_sd,xml_time_avg,xml_time_sd
JakeWharton_RxRelay,SUCCESS,SUCCESS,58,6,0,3,5.867,NA,1.361,NA
javaparser_javaparser,SUCCESS,SUCCESS,2332,215,0,3,600,NA,578.678999999999,NA
j-easy_easy-batch,SUCCESS,SUCCESS,341,133,0,3,46.149,NA,25.538,NA
jenkinsci_configuration-as-code-plugin,SUCCESS,SUCCESS,101,42,0,3,114,NA,82.758,NA
jenkinsci_selenium-plugin,SUCCESS,SUCCESS,50,2,0,3,68,NA,54.151,NA
JnRouvignac_AutoRefactor,SUCCESS,SUCCESS,143,8,0,3,118,NA,72.133,NA
jrtom_jung,SUCCESS,SUCCESS,232,57,0,3,23.433,NA,11.916,NA
kiegroup_optaplanner,SUCCESS,SUCCESS,2397,392,0,3,294,NA,454.973999999999,NA
kite-sdk_kite,SUCCESS,SUCCESS,2402,201,0,3,2121,NA,2027.592,NA
klarna_HiveRunner,SUCCESS,SUCCESS,270,62,0,3,686,NA,638.056,NA
kohsuke_file-leak-detector,SUCCESS,SUCCESS,17,5,0,3,4.87,NA,1.285,NA
kubernetes-client_java,SUCCESS,SUCCESS,162,76,0,3,92,NA,15.119,NA
lejon_T-SNE-Java,SUCCESS,SUCCESS,20,3,0,3,301,NA,283.818,NA
mojohaus_versions-maven-plugin,SUCCESS,SUCCESS,94,12,0,3,10.682,NA,0.688,NA
mrwilson_byte-monkey,SUCCESS,SUCCESS,13,13,0,3,12.908,NA,5.05,NA
Multiverse_Multiverse-Core,SUCCESS,SUCCESS,11,6,0,3,30.641,NA,18.016,NA
NanoHttpd_nanohttpd,SUCCESS,SUCCESS,239,34,0,3,33.76,NA,18.315,NA
neo4j_neo4j-java-driver,SUCCESS,SUCCESS,1717,144,0,3,63,NA,42.768,NA
Netflix_curator,SUCCESS,SUCCESS,44,8,0,3,76,NA,69.334,NA
NGDATA_hbase-indexer,SUCCESS,SUCCESS,265,41,0,3,1577,NA,1337.03,NA
ning_compress,SUCCESS,SUCCESS,44,1,0,3,7.594,NA,2.119,NA
NLPchina_Word2VEC_java,SUCCESS,SUCCESS,0,0,0,3,1.181,NA,0,NA
nuls-io_nuls,SUCCESS,SUCCESS,0,0,0,3,8.96,NA,0,NA
OpenHFT_Chronicle-Queue,SUCCESS,SUCCESS,423,84,0,3,190,NA,141.472,NA
OpenHFT_Chronicle-Wire,SUCCESS,SUCCESS,2408,116,0,3,104,NA,37.478,NA
OpenSmpp_opensmpp,SUCCESS,SUCCESS,151,10,0,3,49.064,NA,34.353,NA
oracle_helidon,SUCCESS,SUCCESS,2573,282,0,3,432,NA,337.377,NA
OryxProject_oryx,SUCCESS,SUCCESS,393,104,0,3,1352,NA,94.841,NA
oshi_oshi,SUCCESS,SUCCESS,70,22,0,3,15.804,NA,1.409,NA
ottogroup_flink-spector,SUCCESS,SUCCESS,211,44,0,3,44.06,NA,46.55,NA
owlcs_owlapi,SUCCESS,SUCCESS,6409,215,0,3,224,NA,50.027,NA
perwendel_spark,SUCCESS,SUCCESS,304,43,0,3,46.048,NA,20.107,NA
protostuff_protostuff,SUCCESS,SUCCESS,1419,169,0,3,42.958,NA,8.616,NA
pulse00_Symfony-2-Eclipse-Plugin,SUCCESS,SUCCESS,16,1,0,3,138,NA,5.049,NA
radargun_radargun,SUCCESS,SUCCESS,64,6,0,3,179,NA,10.85,NA
rapidoid_rapidoid,SUCCESS,SUCCESS,476,180,0,3,545,NA,463.317,NA
rhuss_jolokia,SUCCESS,SUCCESS,633,24,0,3,66,NA,22.04,NA
Sable_soot,SUCCESS,SUCCESS,272,63,0,3,126,NA,69.11,NA
sakaiproject_sakai,SUCCESS,SUCCESS,1545,257,0,3,442,NA,293.822,NA
sentilo_sentilo,SUCCESS,SUCCESS,1032,211,0,3,212,NA,99.677,NA
shred_acme4j,SUCCESS,SUCCESS,186,41,0,3,20.851,NA,11.71,NA
sismics_reader,SUCCESS,SUCCESS,97,27,0,3,83,NA,70.14,NA
SonarSource_sonar-java,SUCCESS,SUCCESS,2555,773,0,3,96,NA,77.0190000000002,NA
SonarSource_sonar-scanner-jenkins,SUCCESS,SUCCESS,192,40,0,3,116,NA,100.904,NA
speedment_speedment,SUCCESS,SUCCESS,1323,131,0,3,68,NA,25.917,NA
splicemachine_spliceengine,SUCCESS,SUCCESS,0,0,0,3,1.083,NA,0,NA
spotify_styx,SUCCESS,SUCCESS,1129,116,0,3,422,NA,338.223,NA
spring-cloud_spring-cloud-kubernetes,SUCCESS,SUCCESS,115,39,0,3,188,NA,152.566,NA
spring-projects_spring-data-cassandra,SUCCESS,FAILURE,1120,114,0,3,120,NA,5.256,NA
takari_polyglot-maven,SUCCESS,SUCCESS,190,31,0,3,80,NA,29.224,NA
teamed_qulice,SUCCESS,SUCCESS,147,19,0,3,156,NA,32.914,NA
temyers_cucumber-jvm-parallel-plugin,SUCCESS,SUCCESS,97,11,0,3,5.498,NA,0.399,NA
ThreeTen_threetenbp,SUCCESS,SUCCESS,17812,1,0,3,14.092,NA,9.428,NA
togglz_togglz,SUCCESS,SUCCESS,447,99,0,3,140,NA,98.909,NA
twilio_twilio-java,SUCCESS,SUCCESS,2377,351,0,3,88,NA,632.698,NA
uber_uReplicator,SUCCESS,SUCCESS,32,23,0,3,1809,NA,1596.478,NA
usethesource_rascal,SUCCESS,SUCCESS,5359,1,0,3,123,NA,111.918,NA
vaadin_framework,SUCCESS,SUCCESS,3680,515,0,3,366,NA,139.993,NA
