created_at,default_branch,fork,full_name,ismaven,pushed_at,rev,size,stargazers_count
2013-06-12T07:00:19Z,master,False,apache/logging-log4j2,True,2018-12-15T06:19:48Z,9abb6b00d25fb9c416b467fdb1dfe0293b76bf80,37323,618
2015-07-09T15:43:13Z,master,False,fabric8io/kubernetes-client,True,2018-12-15T10:12:22Z,e36599078376894e30f2ca41a8fb1fb14f4fe310,75782,617
2014-09-11T18:32:40Z,master,False,payara/Payara,True,2018-12-16T23:28:18Z,099ed5a4dd7899e97b3a3c6378172aa8ccfdae59,99178,609
2014-06-04T07:00:08Z,master,False,apache/phoenix,True,2018-12-17T05:49:27Z,1c042c25ed833945abe07958b82d5e9fb701ac89,49036,561
2014-12-29T11:14:17Z,master,False,sakaiproject/sakai,True,2018-12-17T07:53:37Z,78e09a9ddccec75ee5e66618ad410cf8a87cf67e,373899,455
2011-10-06T07:00:09Z,master,False,apache/accumulo,True,2018-12-15T07:32:54Z,9e169aec59fc59138ea7381c399fec79d9339eb8,66279,419
2010-08-12T03:32:41Z,master,False,apache/karaf,True,2018-12-15T21:13:51Z,4cd7e5c5cbf661e331e7a1f308f69086be773248,60559,384
2017-06-23T18:56:01Z,master,False,aws/aws-sdk-java-v2,True,2018-12-15T00:42:15Z,e17887c71c3958ffd023a5fdd469592533eb8753,19628,344
2012-01-23T20:21:49Z,master,False,mjiderhamn/classloader-leak-prevention,True,2018-12-15T14:37:46Z,24a75571ba4f191556075065af48ffe95b73b48f,773,254
2015-04-12T19:10:56Z,master,False,PhoenicisOrg/phoenicis,True,2018-12-17T07:16:31Z,45de83e80bc7c3857e8d52c2f87594804312912d,16206,213
2010-08-12T03:32:41Z,master,False,apache/maven-surefire,True,2018-12-15T23:06:56Z,c6c8f892c39baecfa89a3179c14b50c58aa4750a,13433,196
2016-01-14T19:47:32Z,master,False,eclipse/rdf4j,True,2018-12-15T03:37:53Z,dd1684dce0627180d57a3a59ef9edf5e04ec1b96,12401,136
2014-05-12T03:11:55Z,master,False,GoogleCloudPlatform/bigdata-interop,True,2018-12-17T05:24:32Z,eb8e5a9f7783cad9ad3a7efb94aa95e7833ffe6d,4503,126
2015-03-10T19:06:29Z,master,False,apache/asterixdb,True,2018-12-15T17:40:00Z,81f3e7593ad9d4170aa3bd47c5c6aae4183873c5,157759,126
2016-11-30T08:00:08Z,master,False,apache/rocketmq,True,2018-12-16T14:09:27Z,d4d02b5e017ebf8c7d3405516264645280cf57fa,4240,6147
2012-08-10T21:52:42Z,master,False,NanoHttpd/nanohttpd,True,2018-12-16T19:22:54Z,b04a342a4bcd0ff44be65138acffc73a29381c72,1342,4283
2013-02-26T06:09:52Z,master,False,jamesdbloom/mockserver,True,2018-12-16T21:19:55Z,8a88be03d4e49afd81bae9346d0a8718e7838d89,37794,1805
2016-10-13T07:21:43Z,master,False,flowable/flowable-engine,True,2018-12-16T21:57:33Z,2651ce43fbeac037130a380ebba60020a9dc8ab4,133787,1254
2014-12-12T08:00:05Z,master,False,apache/nifi,True,2018-12-16T12:46:05Z,0efddf47d516b62d7d9c61142d20ce40bcec675f,129367,1210
2016-12-13T21:36:25Z,master,False,spring-cloud/spring-cloud-kubernetes,True,2018-12-17T01:16:01Z,a5baf013f662458d23ec85ae6097caffc2cb8a17,1076,933
2015-11-10T08:00:06Z,master,False,apache/systemml,True,2018-12-16T16:07:28Z,8895ebc454ce85e823d6332e40d7effd874e59df,210570,733
2012-02-10T12:46:48Z,master,False,oshi/oshi,True,2018-12-16T16:53:24Z,e74da6fb452c4c74766254e65147e181e7ef99c0,76771,721
2015-03-25T22:48:38Z,master,False,GoogleCloudPlatform/java-docs-samples,True,2018-12-17T03:37:49Z,b4c64887f5a348ab1da1e115cc42272c4e679fb1,29477,664
2011-11-10T23:22:12Z,master,False,geotools/geotools,True,2018-12-16T13:47:05Z,402b27db923645510f99a8a6b772a9a9114a73c6,197001,652
2017-08-18T22:07:36Z,5.0.1-post,False,confluentinc/kafka-streams-examples,True,2018-12-16T00:57:10Z,18774b97a0cd54c360b0ff4bd8052e1acdf234b9,1584,580
2011-02-01T20:55:18Z,master,False,structr/structr,True,2018-12-16T21:23:06Z,cd0fc4f123d046ce508ce367cdd17394e9438e5c,261237,536
2011-04-06T07:00:07Z,master,False,apache/bookkeeper,True,2018-12-16T08:58:02Z,b2e099bbc7b13f13825fe78ab009ca132cb3a9ba,39423,531
2015-05-20T18:54:34Z,master,False,confluentinc/kafka-connect-hdfs,True,2018-12-16T00:56:20Z,d8f98e3cca7509d80d40982f6a962b90f183a6c3,1133,261
2010-05-26T23:38:08Z,master,False,apache/mina-sshd,True,2018-12-16T21:55:37Z,d5bf7c50236dc612b3f32cab173f823f92825572,12787,167
2013-12-30T13:46:45Z,master,False,Evolveum/midpoint,True,2018-12-16T15:47:31Z,60922512f8c244462817336e236c4d694fe0a270,153495,133
2012-12-14T02:06:21Z,master,False,zolyfarkas/spf4j,True,2018-12-16T21:59:54Z,24bbb50f80457b70cc90451d59a4336f2c359fb7,824092,122
2010-11-22T21:21:23Z,master,False,jenkinsci/jenkins,True,2018-12-17T05:14:45Z,bcc4e4fe9c3dccc5ca74299d24f8f992c9d5cd71,110352,11749
2013-04-29T18:26:36Z,master,False,eugenp/tutorials,True,2018-12-17T07:57:33Z,9297099abf0f4ad18041619ccef3c72efb41c032,113644,10146
2012-06-06T18:26:16Z,master,False,openzipkin/zipkin,True,2018-12-17T08:12:59Z,611e92a83d60017ce365ac66070e8847970b5136,43923,10069
2014-08-28T07:00:08Z,trunk,False,apache/hadoop,True,2018-12-17T06:56:53Z,788e7473a404fa074b3af522416ee3d2fae865a0,454729,8339
2012-10-23T19:08:07Z,master,False,apache/incubator-druid,True,2018-12-17T06:32:51Z,486c6f3cf9ca15ceb4da8be9351693fa128135c3,153459,7353
2014-06-07T07:00:10Z,master,False,apache/flink,True,2018-12-17T09:13:39Z,31665d63654365e8169deb5e31604c472a950a69,171788,5308
2015-03-25T07:00:06Z,master,False,apache/zeppelin,True,2018-12-17T07:41:47Z,a6f45629459018fefa55eb57da8ce3fb87eb4a5f,70921,3885
2012-03-21T12:25:18Z,master,False,hazelcast/hazelcast,True,2018-12-17T09:01:33Z,2b40c0ad215a3115a24e7ba57cf7d13e56747212,136710,2892
2016-06-28T07:00:03Z,master,False,apache/pulsar,True,2018-12-17T08:39:00Z,da07af98fd3b84e000250c9904dd6c29e31a6512,69413,2785
2018-06-15T06:49:27Z,master,False,alibaba/nacos,True,2018-12-17T07:13:29Z,7fac0909d4da9b2c1549c97bf727e5c0310c4409,12587,2617
