name,url,rev
jbot,https://github.com/ramswaroop/jbot,68ff5c885aa00fce8e783c20f0e707aa55f6a9b9
jade4j,https://github.com/neuland/jade4j,20f39c575255aa1a02b7397cabbbab1ebd7c5700
J2V8,https://github.com/eclipsesource/J2V8,c97922e95c3ba7d6e544f81bcf6bf14b788e03a0
apis,https://github.com/OAuth-Apis/apis,dd6e177c164ec50024a3ec9345255fecfe227f65
t-digest,https://github.com/tdunning/t-digest,a4f30ff184e3704f50e6c344218dd7f7c7f71093
jbake,https://github.com/jbake-org/jbake,b892e503664c1e0d644d09c4e9cb1d5d776b0a58
light-admin,https://github.com/la-team/light-admin,624e80abdc84176302b75c01a70ad66b8663c038
REST-With-Spring,https://github.com/eugenp/REST-With-Spring,27bc540f111c9ab257c36670536b348a142463ce
FakeSMTP,https://github.com/Nilhcem/FakeSMTP,1fea9ab114f836188974763c69254003c514437c
docker-client,https://github.com/spotify/docker-client,6c65b24fb4cca14e3572375331a8f00dd54c9f16
protostuff,https://github.com/protostuff/protostuff,341e7bcaffb4981afab1336e5bb517dcb9f5ea79
moquette,https://github.com/andsel/moquette,b6239b3c5c1ebe5c4c9d9df7e41ddef5458177ce
maven-plugins,https://github.com/github/maven-plugins,8d6d49393d1453be709ecc4cfe87f41f2081f5c5
maven-git-commit-id-plugin,https://github.com/ktoso/maven-git-commit-id-plugin,469d497116d3390c1357c2dc7151272cf3272955
infinitest,https://github.com/infinitest/infinitest,f47f92137b09177e43c3885cc088e94d979bfbb7
rxjava-jdbc,https://github.com/davidmoten/rxjava-jdbc,f9a4012f07c271a220e9b24cc38065dddef7e72e
ripme,https://github.com/4pr0n/ripme,522b813587e834397a57c40f3765f6e995c5f6e4
spring-websocket-portfolio,https://github.com/rstoyanchev/spring-websocket-portfolio,cd3f3cffbf5af39bef50c361c383152b66b758f1
amazon-echo-ha-bridge,https://github.com/armzilla/amazon-echo-ha-bridge,ecf2db21fc3311d5d57398c8dc79252208a291b6
spring-restbucks,https://github.com/olivergierke/spring-restbucks,1001ff1a2f22be838bd32e019ebb4e707ebb6cef
rtree,https://github.com/davidmoten/rtree,b709b49c0d7561745ce923d9f3f614cfdfa78152
aws-apigateway-importer,https://github.com/awslabs/aws-apigateway-importer,fea51c9d2a604f40a10ee26d51bca092bc274775
pf4j,https://github.com/decebals/pf4j,f85fa4ab158d3e86f8737e7f3b131c9bf8ff0d30
TwelveMonkeys,https://github.com/haraldk/TwelveMonkeys,4f659e41bff7ffb0b92f8f1636a82cb008fc1035
structr,https://github.com/structr/structr,0dd9c19981ede16c7ce1788a9869810f89a349f6
nlp-lang,https://github.com/NLPchina/nlp-lang,d9ecd27687b93709eb70ffe91a8e38b60fa8a038
blynk-server,https://github.com/blynkkk/blynk-server,8ee8ba7d63a5fe36a9d4faef73b09082169527e2
s3proxy,https://github.com/andrewgaul/s3proxy,8052e67eac0b1e4cc44676da405a57e04d26e42a
nifi,https://github.com/apache/nifi,bfe91db85707a7cd00c2b9a79340c24cdcfd8c5e
polyglot-maven,https://github.com/takari/polyglot-maven,6819252cecbfeac27d7daa56734af8c32384f853
tika,https://github.com/apache/tika,99b59243756d08124497686642d559f31d549543
restx,https://github.com/restx/restx,dbd8444b310855e81ccf8bf58ab9b9c918b84f36
netty-in-action,https://github.com/normanmaurer/netty-in-action,5a61bfcdcf5aff6b994a53ec1f7b3c288bdb278a
pdfbox,https://github.com/apache/pdfbox,6072662fac4739ffbcdb473d1ddf8519b8d6460d
mina,https://github.com/apache/mina,06a2cb9db8d768fdca7ca1174c9800adb9d5229c
teavm,https://github.com/konsoletyper/teavm,c25dd1a99d68de6946a2f0eff3e6c65459bd6efd
HTTP-Proxy-Servlet,https://github.com/mitre/HTTP-Proxy-Servlet,e526b1a0b202e18759f17070da2b8b7b4e4ab460
jooby,https://github.com/jooby-project/jooby,adedecbfb6a0dfbfcaf476a1246c5123c3293ad5
egads,https://github.com/yahoo/egads,c08fc3af3ae9df57befce85c29a94740d1fb42ab
cometd,https://github.com/cometd/cometd,0cd44c3e11afbd7d760b13c26cc96271f21ba9d8
wicket,https://github.com/apache/wicket,0914576ad123c445a192434f81ef199f8b007921
geotools,https://github.com/geotools/geotools,c494262a33dd4218f72fcad9c6765bb4ea590b36
smartqq,https://github.com/ScienJus/smartqq,43b471591f9361fd87214cab49048e7794dae587
jolt,https://github.com/bazaarvoice/jolt,8ed8e2f4901f163a2b2e90d4e3c5bbc726d885ad
jblas,https://github.com/mikiobraun/jblas,8213dba95a71b8c12f190dd04b2b0b68dcb67287
spring-cloud-config,https://github.com/spring-cloud/spring-cloud-config,f48062f00c5e352a2e338d7b1f924988964dd810
GraphJet,https://github.com/twitter/GraphJet,62546361e9e91e4f99262ecbd6dd889ab606dcc4
kuromoji,https://github.com/atilika/kuromoji,cc64f5fdda8f320af51cf4403cfa3709abc5fa40
Hive-JSON-Serde,https://github.com/rcongiu/Hive-JSON-Serde,187c1bb098379d8366f553b761b55ebb5345a743
cassandra-lucene-index,https://github.com/Stratio/cassandra-lucene-index,9a0867292f0808c434fd6111e7c3fc2c6b98cd33
XChart,https://github.com/timmolter/XChart,ded00108d75b92d8d576416a1e23ff03c5c75ba3
spark-dataflow,https://github.com/cloudera/spark-dataflow,95d66c081f213766fff3d824187c071754203e4d
vraptor4,https://github.com/caelum/vraptor4,03ec65ad570cc3b609c586b70b0c7a9dd5fdd8fa
microservices-demo,https://github.com/paulc4/microservices-demo,eef83118a0fc247eaacfa27c5a1c03c279c90821
jsweet,https://github.com/cincheo/jsweet,0cfca2105afeb9e26e30779fe12476e872796d55
jHiccup,https://github.com/giltene/jHiccup,73bff9ca0634df0f5227bc259f42ae5c1972e9a9
SmsRadar,https://github.com/tuenti/SmsRadar,598553c69c474634a1d4041a39f015f0b4c33a6d
stringtemplate4,https://github.com/antlr/stringtemplate4,54cab827e812fb3dd89318206ebe6ed426bab0d6
linkbench,https://github.com/facebookarchive/linkbench,ac67d54bf291eb9546d5480ffa4b2c2ef9ff0740
kafka-spark-consumer,https://github.com/dibbhatt/kafka-spark-consumer,44d2b84391a470821393d36b71d0f1c3c100751e
Surus,https://github.com/Netflix/Surus,3f68bd384e2267ca00602febe4a382a55a40eb4d
mybatis-generator-gui,https://github.com/astarring/mybatis-generator-gui,1d7d36e9defaacf7780e6c396eb0bd5f382dd3d0
book,https://github.com/tamingtext/book,e635c892f22b7ca63249f0377eb727354e839b48
jackdaw,https://github.com/vbauer/jackdaw,cfa3aee52f7ddf6a4c3724b0549050549b3b2bc1
spring-retry,https://github.com/spring-projects/spring-retry,ba35d97222cf3cdca2a845b4f66a360d71429adc
pgjdbc-ng,https://github.com/impossibl/pgjdbc-ng,8e95543d7359e7df2ebc0c573b6b432df78c3c3f
emoji-java,https://github.com/vdurmont/emoji-java,ca4a06e971370ab08ee2b370c4fdd61b9d2ec915
spoon,https://github.com/INRIA/spoon,b83f03355274bac9bc857b7f667230304a3fe2d8
swagger-socket,https://github.com/swagger-api/swagger-socket,8e8adcb9a4680299cbb7cc2a67595061c149d0d5
restheart,https://github.com/SoftInstigate/restheart,624d4a278f66513981aebc5488c1a00e0c876ef1
StreamCQL,https://github.com/HuaweiBigData/StreamCQL,123202ec79315c548a575b989beb0769e7d78a0d
httl,https://github.com/httl/httl,e13e00f4ab41252a8f53d6dafd4a6610be9dcaad
Multiverse-Core,https://github.com/Multiverse/Multiverse-Core,c00847f173c2a20c2172c0cfa5c1d4d5d6449480
riak-java-client,https://github.com/basho/riak-java-client,bcad0c86581370e555bd0aa0e410aea4009e3c76
swagger-maven-plugin,https://github.com/kongchen/swagger-maven-plugin,499154d92ebe4e2d8815ad229949c84a755f0dd6
obd-java-api,https://github.com/pires/obd-java-api,472f8249bc0437c59ce6a595d87ac739f7df59a1
pcap4j,https://github.com/kaitoy/pcap4j,18f39f5491781d2e163a2adcbb92afa698fd7e4d
Java-Lang,https://github.com/OpenHFT/Java-Lang,932d4b01e545f9327b127a17d819bc569338bb4b
amazon-kinesis-client,https://github.com/awslabs/amazon-kinesis-client,0954ed8b2602df4266378554920f4e65c7390ad0
huntbugs,https://github.com/amaembo/huntbugs,80613bf216653791707fc9ee14cc3875ec60861c
tcSlackBuildNotifier,https://github.com/PeteGoo/tcSlackBuildNotifier,bd08324b33267f9314adec74ef8c4e4832ed77a9
cmb,https://github.com/Comcast/cmb,be849c90629509347bfbc8228c5b12a0076bba97
movie-database,https://github.com/tobiasflohre/movie-database,c22be37400ba4b843e7fc02ce979c49111e44836
jpush-api-java-client,https://github.com/jpush/jpush-api-java-client,ebfe41b04c1f7fda7831c8b3251ea5aab58bb849
redpen,https://github.com/redpen-cc/redpen,78f615dfde58419108fa49eebb657ab33942272a
Web-Karma,https://github.com/usc-isi-i2/Web-Karma,35f948298057e47f8777a33ac125940515a9a0d3
Cerberus,https://github.com/brahalla/Cerberus,4bc2bcdb83055a65328ed1749082b27374f46e05
amazon-kinesis-connectors,https://github.com/awslabs/amazon-kinesis-connectors,13e41407e617aadf248ca7e636af2f198bdfae4e
jumblr,https://github.com/tumblr/jumblr,68fa791e60021902a52c62792948b169c466f6d8
webapp-runner,https://github.com/jsimone/webapp-runner,b4e690462a8b184a91e891550113847e4029f559
java-cas-client,https://github.com/apereo/java-cas-client,f2415d45791dbcad3dc486a6c756eeee9d10edea
spring-amqp-samples,https://github.com/spring-projects/spring-amqp-samples,dfcccbbc2ade44c380a27f8da3840ed331d82934
zkui,https://github.com/DeemOpen/zkui,7fac42e28729d37cc23e669322a14e59261523f6
grunt-maven-plugin,https://github.com/allegro/grunt-maven-plugin,24930c2c49f427c62886651d55d85c3a711800b4
statsd-jvm-profiler,https://github.com/etsy/statsd-jvm-profiler,3fd399a1b19cd707e4cb42f0c6548b97b10427e4
spring-cloud-sleuth,https://github.com/spring-cloud/spring-cloud-sleuth,85f89434103cd8dc64c6a4f6c047c5a50052b71c
storm-crawler,https://github.com/DigitalPebble/storm-crawler,4832c9860fc8fc3e3a66b3f8e687bc81d60e5d8f
Argus,https://github.com/salesforce/Argus,ea3bd0867c9275026e70c85c7fa513b99f29209b
jBCrypt,https://github.com/jeremyh/jBCrypt,e015c2c110ab7cf544400893f3543b45f359ff58
sharpen,https://github.com/mono/sharpen,d6ea9528fc18d71e715eee4638675d9ad7160bb0
asterisk-java,https://github.com/asterisk-java/asterisk-java,61ecf80c6bdb5dff5740dee1c037836570683966
hibernate-search,https://github.com/hibernate/hibernate-search,1c1e7f08f4a75f72c45bcbd153d71aa3b27e4bb7
s3s3mirror,https://github.com/cobbzilla/s3s3mirror,1913e14ad9ed0abaf7b6b438e27afcad281534c8
acs-aem-commons,https://github.com/Adobe-Consulting-Services/acs-aem-commons,37fee08d05a10c37fb03c172e90004ab35b175ef
dcm4che,https://github.com/dcm4che/dcm4che,39bbb32595ad8f1398fdef1af0b90c255341e53e
apex-core,https://github.com/apache/apex-core,c97dd7ccc495e7ac17e263ea82338a06987aa435
netty-zmtp,https://github.com/spotify/netty-zmtp,bbdcf4cc45ef721d69095f53e13928a7e8003e3e
jsonld-java,https://github.com/jsonld-java/jsonld-java,4aa9f617240c2876b343c1abd8d5dfa5d1285538
angularjs-springmvc-sample,https://github.com/hantsy/angularjs-springmvc-sample,66a06617e7cbb8adf8a90da8c29c0103d7877495
rythmengine,https://github.com/rythmengine/rythmengine,cde4360718d09a17b3c44aae1eb42dafab1810a7
choco-solver,https://github.com/chocoteam/choco-solver,792f79234f80d05261f7c78af332714992c31485
jmeter-maven-plugin,https://github.com/jmeter-maven-plugin/jmeter-maven-plugin,c86a731aa3cb9e72a0055711a67bf6bdb5f0946f
httpbuilder,https://github.com/jgritman/httpbuilder,72fb50a94cbd85f7cde17be0ea6b8e8375bc573e
agoncal-book-javaee7,https://github.com/agoncal/agoncal-book-javaee7,40029d57962fa5a4e2b326056b8e7970c3d52050
openscoring,https://github.com/openscoring/openscoring,3c7fdebf4d05829a5ca7275d1f831eab0078fda1
sling,https://github.com/apache/sling,2272376537ab6cdfd2ac0ca78c44b1dad0a41794
freedomotic,https://github.com/freedomotic/freedomotic,983e3cc127cd13349ee481a89c6e9055ad413ef2
jackrabbit-oak,https://github.com/apache/jackrabbit-oak,e18507559a0da4fc4b480a3d88e0c7eb5333199a
jwt-spring-security-demo,https://github.com/szerhusenBC/jwt-spring-security-demo,66aa2fd7fac2c9f6ccf62112fbb037c1da8b7d0c
superword,https://github.com/ysc/superword,475a14bde1d7a01afecd043d84e632c36b7c8a3e
ik-analyzer,https://github.com/wks/ik-analyzer,ee504512b0da0e5218fabba5ef8824fa72a16e94
dynamodb-transactions,https://github.com/awslabs/dynamodb-transactions,8640f989a91dc427dd64a07b93b962f2dcb8662a
spring-cloud-consul,https://github.com/spring-cloud/spring-cloud-consul,29ae38d4355fae4ba97c78dd271a184a07a65436
fluent-http,https://github.com/CodeStory/fluent-http,fe363dc7c81746c7eafda9d6a490a565efa418fc
geo,https://github.com/davidmoten/geo,b724a8a2bda2e04abb56dbd82a76c3d0d104f3a1
elasticsearch-carrot2,https://github.com/carrot2/elasticsearch-carrot2,88de64f5bf0ec33d8b5a1a91c4a08747fc0a504d
mongojack,https://github.com/mongojack/mongojack,cf00cb2b79f709b8bd19aa67428e27b57ae4e24c
objenesis,https://github.com/easymock/objenesis,a0bce089b473854b43601984278c2ef31721ca28
WS-Attacker,https://github.com/RUB-NDS/WS-Attacker,5c4c80aefb5024f5220b5ba45c003490b2a3ad4d
neo4j-reco,https://github.com/graphaware/neo4j-reco,b3c0de172ee7e513963c0f22b32333a7505a295c
stormpath-sdk-java,https://github.com/stormpath/stormpath-sdk-java,4a4d1855b79c1832634b87a94cddfe3ba94cc6af
sendgrid-java,https://github.com/sendgrid/sendgrid-java,207a872443b9f175e1a98cc490b35f70570c16de
getdown,https://github.com/threerings/getdown,1053a11c460610c522de781e26da71a2b65dd4b4
incubator-brooklyn,https://github.com/apache/incubator-brooklyn,337a5d22d5e9c98cc96ea1085383cbed1ee0b741
Strata,https://github.com/OpenGamma/Strata,2c8949e99dae0c5e54030bb41b1e42e920c53522
cloudsync,https://github.com/HolgerHees/cloudsync,8af7b71b6eb490adff1cf91ffe0bb105a738e1f1
jackrabbit,https://github.com/apache/jackrabbit,3cc65233fe7e4986a9047ce71f66eb090a79d600
hank,https://github.com/LiveRamp/hank,a4077c98e6676db873f4135c6fa8a3086d19c602
BridJ,https://github.com/nativelibs4java/BridJ,f221b3650ebe0d74931898dbaa88b5fe18b2d10c
HotSUploader,https://github.com/eivindveg/HotSUploader,092ed3efaef655df12763f3ba51ca3fff00b417c
succinct,https://github.com/amplab/succinct,126dce55c4a248335e16cb69760a954ed095ab00
cloud-slang,https://github.com/CloudSlang/cloud-slang,ba412715486f035e2f04ecf64a3759a8af52fa92
ohc,https://github.com/snazy/ohc,4d24e08670666700b6a70f9b6b84956ffbbe7822
camel-cookbook-examples,https://github.com/CamelCookbook/camel-cookbook-examples,33d1e603716f5865c2fea931e4096fc4a26adda9
MOE,https://github.com/google/MOE,f7ccd2596d701edf2bbf5aecc113a5d0e6d70472
AppiumTestDistribution,https://github.com/saikrishna321/AppiumTestDistribution,5d1ed9602e3721d6374be7c09c6924d326a52a31
greenmail,https://github.com/greenmail-mail-test/greenmail,7f9a282cb72f2568eae6910ef2ecf595837e2f2d
zookeeper-book-example,https://github.com/fpj/zookeeper-book-example,135b79b472fd2c45b82d78a3653532eecd69b6fe
p2-maven-plugin,https://github.com/reficio/p2-maven-plugin,5951ae732ddf0da515567549ea2d4b43fbf213ba
elasticsearch-opennlp-plugin,https://github.com/spinscale/elasticsearch-opennlp-plugin,ac7c22b5741da88cbd4a159694980cfc15ea2014
spring-security-oauth,https://github.com/Baeldung/spring-security-oauth,a8780322eeabb8184cdde12d49f87e6deefc90dd
