mode,name,elapsed_time,r_time,r_skipped,r_tests,r_failures,t_user,t_sys,t_wall
Standard,REST-With-Spring,2.409,0.30100000000000005,1,128,0,9.03,0.27,3.12
Standard,FakeSMTP,1.652,0.126,0,16,0,8.34,0.25,2.36
Standard,docker-client,6.184,6.17799999999999,0,354,0,25.49,0.56,6.93
Standard,protostuff,18.599,3.860999999999996,1,1204,0,57.02,2.01,19.41
Standard,moquette,96,94.19699999999999,0,226,0,17.97,1.49,97.21
Standard,maven-plugins,2.410,0.8110000000000003,0,34,0,12.07,0.22,3.13
Standard,maven-git-commit-id-plugin,9.418,6.745000000000001,1,124,0,22.51,1.46,10.16
Standard,infinitest,24.816,13.584999999999997,1,544,0,66.02,3.49,25.59
Standard,rxjava-jdbc,4.576,2.286,2,444,0,16.44,0.35,5.34
Standard,ripme,139,138.91600000000003,0,55,0,20.81,0.84,140.48
Standard,spring-websocket-portfolio,20.357,15.097999999999999,0,5,0,13.08,0.36,21.03
Standard,amazon-echo-ha-bridge,4.662,0.003,0,1,0,18.46,0.45,5.38
Standard,spring-restbucks,18.241,12.596999999999998,0,33,0,28.08,0.55,18.94
Standard,rtree,9.266,6.964000000000002,1,293,0,27.68,0.42,10.0
Standard,aws-apigateway-importer,2.713,1.295,2,22,0,12.51,0.28,3.42
Standard,spring-data-redis,612,526.2459999999998,211,12187,0,183.52,13.1,612.98
Standard,pf4j,1.571,0.294,0,21,0,8.22,0.14,2.41
Standard,TwelveMonkeys,49.067,40.30799999999998,82,4065,0,124.21,3.18,49.78
Standard,samoa,44.894,41.574,0,44,0,35.28,1.02,45.6
Standard,structr,1157,514.58,0,486,0,2262.52,113.63,1158.27
Standard,nlp-lang,19.787,18.872999999999998,0,30,0,24.41,1.22,20.46
Standard,blynk-server,3.962,0.28500000000000003,8,11,0,10.56,0.32,4.71
Standard,s3proxy,49.944,105.608,17,177,0,83.28,2.02,50.64
Standard,nifi,53.615,29.196000000000005,7,417,0,108.12,5.7,54.55
Standard,storm-yarn,29.905,23.875999999999998,0,3,0,31.5,1.1,30.6
Standard,polyglot-maven,28.511,11.358999999999996,0,157,0,109.21,2.37,29.33
Standard,tika,251,232.54000000000008,24,1183,0,474.72,14.25,252.58
Standard,restx,50.029,42.25400000000001,5,335,0,91.44,2.85,50.72
Standard,netty-in-action,1.016,0.056,0,7,0,5.59,0.18,1.68
Standard,pdfbox,24.192,22.651000000000014,0,1207,0,61.61,0.8,24.88
Standard,mina,47.817,42.85999999999999,1,371,0,25.29,0.83,48.6
Standard,giraph,1076,73.44,0,27,0,287.19,22.62,1077.78
Standard,teavm,182,612.6799999999998,0,1744,0,429.38,6.37,183.32
Standard,HTTP-Proxy-Servlet,16.831,15.721999999999998,2,56,0,7.18,0.31,17.52
Standard,minimal-json,3.579,0.7730000000000001,0,532,0,15.56,0.44,4.3
Standard,jooby,18.418,11.073999999999995,0,842,0,62.74,1.17,19.24
Standard,egads,4.844,2.159,0,21,0,18.47,0.36,5.56
Standard,cometd,1000,985.4020000000002,4,671,0,148.88,9.67,1000.93
Standard,wicket,149,103.542,5,2557,0,299.8,13.97,150.19
Standard,geotools,468,405.0479999999969,26,7580,0,983.59,38.36,469.73
Standard,smartqq,0.792,0.0,0,0,0,4.49,0.15,1.47
Standard,jolt,4.924,0.507,0,19,0,19.98,0.62,5.63
Standard,jblas,2.700,0.09000000000000002,0,120,0,12.06,0.27,3.44
Standard,spring-cloud-config,44.800,34.50300000000001,1,225,0,83.78,2.21,45.43
Standard,brickhouse,9.818,8.758999999999997,1,35,0,14.62,3.69,10.52
Standard,GraphJet,83,67.20800000000001,0,91,0,114.93,3.73,84.02
Standard,kuromoji,496,93.78900000000002,10,672,0,666.36,51.59,496.91
Standard,Hive-JSON-Serde,1.886,0.183,0,33,0,8.23,0.22,2.6
Standard,cassandra-lucene-index,10.000,5.7650000000000015,0,1273,0,27.52,2.64,10.73
Standard,XChart,1.841,0.046,0,2,0,9.34,0.26,2.55
Standard,spark-dataflow,107,89.549,0,27,0,207.27,4.88,107.85
Standard,vraptor4,12.062,3.5919999999999974,1,874,0,45.2,1.39,12.79
Standard,microservices-demo,5.402,0.05,0,12,0,22.34,0.52,6.11
Standard,jsweet,548,544.773,11,199,0,750.74,32.16,549.4
Standard,jHiccup,0.994,0.007,0,2,0,6.16,0.14,1.69
Standard,jitsi-videobridge,3.108,0.5860000000000001,0,7,0,8.73,0.31,3.81
Standard,SmsRadar,3.919,1.7079999999999997,0,16,0,17.45,0.35,4.7
Standard,stringtemplate4,3.171,1.9709999999999996,2,612,0,12.08,0.41,3.84
Standard,linkbench,261,554.197,0,98,0,270.92,1.96,262.22
Standard,kafka-spark-consumer,9.569,8.359,0,5,0,10.42,0.36,10.26
Standard,Surus,1.645,0.856,0,10,0,6.99,0.2,2.37
Standard,mybatis-generator-gui,0.799,0.002,0,5,0,4.53,0.13,1.47
Standard,book,73,56.427,0,22,0,29.65,1.24,74.43
Standard,jackdaw,4.633,0.08600000000000002,0,29,0,17.3,0.38,5.41
Standard,spring-retry,8.051,6.694,0,242,0,12.64,0.3,9.14
Standard,pgjdbc-ng,3.626,1.5920000000000005,8,1473,0,14.8,0.4,4.35
Standard,emoji-java,1.001,0.111,0,52,0,5.81,0.1,1.68
Standard,spoon,98,93.27100000000002,2,936,0,184.68,19.1,99.19
Standard,swagger-socket,19.428,1.1709999999999998,2,22,0,47.91,1.95,20.19
Standard,restheart,3.298,0.44600000000000006,0,40,0,15.41,0.32,4.01
Standard,StreamCQL,1.743,0.4660000000000001,1,270,0,7.8,0.24,2.43
Standard,httl,39.843,40.077999999999996,0,141,0,279.49,1.35,40.52
Standard,Multiverse-Core,16.199,9.193,0,11,0,58.4,0.87,16.95
Standard,batch-import,13.204,12.189,3,111,0,19.48,0.53,13.88
Standard,riak-java-client,42.090,32.87499999999999,4,353,0,42.74,0.97,42.83
Standard,swagger-maven-plugin,9.077,67.75300000000001,0,22,0,36.44,0.6,9.86
Standard,obd-java-api,1.704,0.14200000000000004,0,65,0,9.08,0.23,2.42
Standard,mesos-plugin,30.062,2.734,0,35,0,79.07,3.22,30.88
Standard,pcap4j,9.630,2.1229999999999984,0,396,0,35.52,1.25,10.35
Standard,mamute,18.197,12.063999999999998,0,294,0,36.79,0.65,19.09
Standard,Java-Lang,19.711,14.269,18,605,0,51.8,2.43,20.46
Standard,amazon-kinesis-client,15.529,11.373999999999995,0,242,0,26.76,0.99,16.28
Standard,huntbugs,11.133,7.156999999999999,0,15,0,49.7,1.26,11.89
Standard,tcSlackBuildNotifier,2.059,0.9560000000000002,6,84,0,9.04,0.29,2.75
Standard,cmb,52.868,51.543999999999976,0,140,0,100.64,0.76,53.54
Standard,movie-database,1.928,0.423,0,3,0,9.51,0.29,2.64
Standard,jpush-api-java-client,2.195,0.10200000000000001,0,72,0,10.47,0.22,2.92
