name,compiled,tested,tests,suites,failures,runs,mvn_time_avg,mvn_time_sd,xml_time_avg,xml_time_sd,perc_failures,timecost_group
etsy_statsd-jvm-profiler,SUCCESS,SUCCESS,45,15,0,3,3.87833333333333,0.0440945952848344,0.851,0.0270554985169373,0.00,short
eugenp_REST-With-Spring,SUCCESS,SUCCESS,128,9,0,3,3.401,0.0599082632030006,0.562333333333333,0.0169213868619961,0.00,short
evernote_evernote-sdk-java,SUCCESS,SUCCESS,14,6,0,3,4.52366666666667,0.106227742766819,0.178333333333333,0.0066583281184794,0.00,short
fabric8io_spring-cloud-kubernetes,SUCCESS,SUCCESS,9,3,0,3,28.599,3.51298391684334,14.2816666666667,0.0361155552820854,0.00,short
facebookarchive_linkbench,SUCCESS,SUCCESS,98,17,0,3,363,1.73205080756888,755.456666666667,4.04740377690846,0.00,long
fakereplace_fakereplace,FAILURE,FAILURE,1,1,0,3,7.68066666666667,0.161769383176587,0.715666666666667,0.027024680078279,0.00,short
feroult_yawp,SUCCESS,SUCCESS,358,57,0,3,13.3146666666667,0.141803855142705,5.90666666666667,0.0863268980870565,0.00,short
fizzed_rocker,SUCCESS,SUCCESS,155,16,0,3,9.78833333333333,0.139378381872274,1.49666666666667,0.0282901631902917,0.00,short
fluent_fluent-logger-java,SUCCESS,SUCCESS,18,5,0,3,36.2153333333333,0.24354123538599,34.8503333333333,0.258422780213616,0.00,short
forcedotcom_wsc,SUCCESS,SUCCESS,29,12,0,3,10.314,0.141714501727946,6.92433333333333,0.0287460142164669,0.00,short
forge_core,SUCCESS,FAILURE,225,83,86,3,60.332,0.578508426904915,30.5366666666667,0.9216573839195,38.22,short
fpj_zookeeper-book-example,SUCCESS,SUCCESS,16,5,0,3,17.818,0.189501978881487,14.8133333333333,0.14340618303732,0.00,short
freedomotic_freedomotic,SUCCESS,SUCCESS,73,28,0,3,21.642,0.569611270955903,9.49766666666667,0.129469430111254,0.00,short
frohoff_ysoserial,SUCCESS,FAILURE,30,2,3,3,5.696,0.681901019210266,3.91633333333333,0.685736343891246,10.00,short
fusesource_hawtdispatch,FAILURE,FAILURE,5,4,0,3,25.9883333333333,0.316103358623938,18.6496666666667,0.32367009953552,0.00,short
galenframework_galen,SUCCESS,SUCCESS,869,2,0,3,27.6773333333333,0.103239204439656,19.379,0.0908129946648605,0.00,short
gchq_Gaffer,FAILURE,FAILURE,1739,252,1,3,187.333333333333,1.52752523165195,56.4013333333334,0.139407077773451,0.06,short
geotools_geotools,SUCCESS,SUCCESS,7678,1339,0,3,613,60.1082357085949,511.573999999998,60.3128326892383,0.00,long
giltene_jHiccup,SUCCESS,SUCCESS,2,2,0,3,1.50266666666667,0.0491358660586473,0.004,0,0.00,short
github_maven-plugins,SUCCESS,SUCCESS,34,6,0,3,3.27366666666667,0.0541233159861196,1.11,0.0168226038412607,0.00,short
GlenKPeterson_Paguro,SUCCESS,SUCCESS,424,56,0,3,5.27433333333333,0.0659191423892432,2.11766666666667,0.027024680078279,0.00,short
glowroot_glowroot,SUCCESS,SUCCESS,463,93,0,3,80.3333333333333,0.577350269189626,15.3883333333333,0.120541832296231,0.00,short
glyptodon_guacamole-client,SUCCESS,FAILURE,6,5,0,3,15.8563333333333,0.201559751273248,0.00766666666666667,0.000577350269189626,0.00,short
googleads_googleads-java-lib,SUCCESS,SUCCESS,5045,170,0,3,67.6666666666667,0.577350269189626,56.829,0.0886115116674815,0.00,short
google_closure-compiler,SUCCESS,SUCCESS,11580,324,0,3,121.333333333333,1.52752523165195,59.4663333333334,0.263213474832332,0.00,short
GoogleCloudPlatform_DataflowJavaSDK,SUCCESS,SUCCESS,3388,307,0,3,141,2,134.258,2.17676204487313,0.00,medium
google_google-java-format,FAILURE,FAILURE,931,17,0,3,19.458,0.521057578392255,3.914,0.0387427412556208,0.00,short
graphaware_neo4j-framework,SUCCESS,FAILURE,543,114,24,3,205.666666666667,0.577350269189626,184.399666666667,0.568547564706179,4.42,medium
graphaware_neo4j-reco,SUCCESS,SUCCESS,19,8,0,3,17.123,0.210876741249479,14.9753333333333,0.253332456138831,0.00,short
graphaware_neo4j-timetree,SUCCESS,SUCCESS,163,19,0,3,120.666666666667,1.15470053837925,118.774666666667,0.72162132267092,0.00,medium
graphhopper_map-matching,FAILURE,FAILURE,8,1,0,3,1.527,0.0372424488990721,0.033,0.00458257569495584,0.00,short
Graphify_graphify,SUCCESS,SUCCESS,9,3,0,3,8.57866666666667,0.0810267445559388,8.65,0.121503086380553,0.00,short
greenmail-mail-test_greenmail,SUCCESS,SUCCESS,106,44,0,3,52.744,5.66472170543267,48.5556666666667,5.63551704223609,0.00,short
hantsy_angularjs-springmvc-sample,SUCCESS,SUCCESS,15,5,0,3,10.1566666666667,0.191901884652895,4.008,0.133292910539158,0.00,short
hantsy_angularjs-springmvc-sample-boot,SUCCESS,SUCCESS,32,11,0,3,42.493,0.166826256926179,5.23733333333333,0.206323370788026,0.00,short
haraldk_TwelveMonkeys,SUCCESS,SUCCESS,4102,166,0,3,73.3333333333333,0.577350269189626,61.2563333333333,0.339503068223752,0.00,medium
hawkular_hawkular-apm,FAILURE,FAILURE,567,80,0,3,52.396,0.216527134558235,40.5896666666667,0.190518590518958,0.00,short
hazelcast_hazelcast,SUCCESS,SUCCESS,16840,1294,0,3,5340,0,16385.883,15.7772108118217,0.00,long
hazelcast_hazelcast-jet,SUCCESS,SUCCESS,1531,117,0,3,241,11.2694276695846,872.837666666667,14.953094841314,0.00,long
