created_at,default_branch,fork,full_name,ismaven,pushed_at,rev,size,stargazers_count
2017-10-27T02:02:11Z,master,False,SkyScraperTwc/SecKillDesign,True,2018-03-07T07:11:43Z,f1736364e464d79aeb9d9f27c1b0e447c9d869ae,1174,180
2012-04-20T01:31:03Z,master,False,alibaba/simpleimage,True,2018-03-08T12:49:15Z,aabe559c267402b754c2ad606b796c4c6570788c,56754,644
2017-02-10T10:28:20Z,master,False,zhangxd1989/springboot-dubbox,True,2018-03-09T17:25:56Z,ffcc5101a2df01aef01189b7e40814100b1e9c39,117,702
2012-07-29T21:21:10Z,master,False,la-team/light-admin,True,2018-03-09T17:35:04Z,2d8875f3dcfb0ed10fcabd92be50d36032f28bf3,23828,631
2018-01-17T02:51:04Z,master,False,zuihou/zuihou-admin-cloud,True,2018-03-09T13:49:08Z,b3116f2eeed3b14e97c3942ad120b6a8fa84bb8a,2187,374
2014-08-18T09:27:50Z,master,False,poetix/protonpack,True,2018-03-09T14:20:51Z,00c55a05a4779926d02d5f4e6c820560a773f9f1,241,368
2014-02-23T07:12:15Z,master,False,avthart/spring-boot-axon-sample,True,2018-03-10T12:12:49Z,b79cd81200b4f43bdade566ee1ba0e470a9eacc8,2185,145
2014-03-05T21:14:41Z,develop,False,tesseract4java/tesseract4java,True,2018-03-10T21:49:30Z,db9791152c0a19bf22e337879d3202823bb0935c,1713,126
2014-04-11T11:56:14Z,master,False,citerus/bookstore-cqrs-example,True,2018-03-10T22:07:55Z,224aac68e1ef616a2a57f71d5de550960f96fabf,473,103
2017-07-20T21:18:26Z,master,False,xiaoyao1991/presto-ethereum,True,2018-03-11T17:41:54Z,1ec6c9f63c5eeff268e9ae4e77a566791a485982,6093,426
2017-01-10T10:42:27Z,master,False,linkedkeeper/tcp-gateway,True,2018-03-11T13:50:13Z,1089dc79e53756b80bcc8fb3d0f97abf62715682,90,153
2018-03-10T05:33:49Z,master,False,longfeizheng/blockchain-java,True,2018-03-11T09:24:41Z,0fd8984fab697f94388d4138558df0dcc760eed5,15,152
2017-05-17T13:50:37Z,master,False,dianbaer/grain,True,2018-03-12T12:34:32Z,02f61fe6c9f9354bc4c732d32ad78b57df0c3731,14458,480
2013-02-13T19:29:56Z,master,False,d-tarasov/android-intents,True,2018-03-12T14:53:21Z,ac3c6e2fd88057708988a96eda6240c29efe1b9a,858,190
