name,module,mode
apache_avro,maven-plugin,C3
apache_avro,protobuf,C3
apache_avro,thrift,C3
apache_avro,grpc,C3
apache_avro,test-custom-conversions,C3
apache_avro,codegen-test,C3
apache_oozie,fluent-job-api,C2
apache_oozie,client,C2
apache_oozie,oozie,C2
apache_oozie,hcatalog,C2
apache_oozie,distcp,C2
apache_oozie,core,C2
apache_oozie,streaming,C2
apache_oozie,pig,C2
apache_oozie,git,C2
apache_oozie,hive,C2
apache_oozie,hive2,C2
apache_oozie,sqoop,C2
apache_oozie,examples,C2
apache_oozie,spark,C2
apache_oozie,docs,C2
apache_oozie,webapp,C2
apache_oozie,tools,C2
apache_oozie,minitest,C2
apache_oozie,fluent-job-client,C2
apache_oozie,server,C2
apache_oozie,distro,C2
apache_oozie,zookeeper-security-tests,C2
apache_opennlp,opennlp-tools,FC0
apache_opennlp,opennlp-uima,FC0
apache_opennlp,opennlp-brat-annotator,FC0
apache_opennlp,opennlp-morfologik-addon,FC0
bouncestorage_chaos-http-proxy,bouncestorage_chaos-http-proxy,C2
cache2k_cache2k,cache2k-testing,C2
cache2k_cache2k,cache2k-api,C2
cache2k_cache2k,cache2k-schemas,C2
cache2k_cache2k,cache2k-core,C2
cache2k_cache2k,cache2k-all,C2
cache2k_cache2k,cache2k-osgi-all,C2
cache2k_cache2k,cache2k-jcache,C2
cache2k_cache2k,cache2k-jcache-tests,C2
cache2k_cache2k,test-osgi,C2
cache2k_cache2k,cache2k-spring,C2
eclipse_leshan,leshan-core,C2
eclipse_leshan,leshan-core-cf,C2
eclipse_leshan,leshan-server-core,C2
eclipse_leshan,leshan-server-cf,C2
eclipse_leshan,leshan-server-cluster,C2
eclipse_leshan,leshan-client-core,C2
eclipse_leshan,leshan-client-cf,C2
eclipse_leshan,leshan-integration-tests,C2
eclipse_leshan,leshan-server-demo,C2
eclipse_leshan,leshan-client-demo,C2
eclipse_leshan,leshan-bsserver-demo,C2
floragunncom_search-guard,floragunncom_search-guard,FC0
javaparser_javaparser,javaparser-symbol-solver-testing,C1
kiegroup_optaplanner,optaplanner-examples,FC0
togglz_togglz,slack,C1
twilio_twilio-java,twilio_twilio-java,FC0
zxing_zxing,core,FC0
zxing_zxing,javase,FC0
zxing_zxing,zxingorg,FC0
zxing_zxing,zxing.appspot.com,FC0
