SUBJECT,BUILDER,COMPILED,TESTS_PASS,ELAPSED_TIME
robotium,Maven,True,True,1s
scalpel,Gradle,False,False,0s
mortar,Gradle,False,False,0s
NiftyDialogEffects,Gradle,N/A,N/A,N/A
StatusBarUtil,Gradle,False,False,0s
TourGuide,Gradle,False,False,0s
canal,Maven,True,True,1s
android-common,Maven,True,True,3s
MultiImageSelector,Gradle,False,False,0s
RecyclerViewPager,Gradle,N/A,N/A,N/A
ViewServer,Gradle,False,False,0s
voldemort,Ant,False,False,0s
material-icon-lib,Gradle,N/A,N/A,N/A
MaterialDateTimePicker,Gradle,False,False,0s
hazelcast,Maven,True,True,79m38s
interview,Gradle,False,False,0s
caffeine,Gradle,False,False,0s
hawk,Gradle,False,False,0s
CircularReveal,Gradle,False,False,0s
MasteringAndroidDataBinding,Gradle,False,False,0s
Bukkit,Maven,True,True,2s
Telecine,Gradle,False,False,0s
TapTargetView,Gradle,False,False,0s
android-pdfview,Maven,False,False,0s
Algorithms,Maven,True,True,1s
antlr4,Maven,True,False,1m48s
wire,Maven,True,True,7s
wildfly,Maven,True,False,7m37s
elasticsearch-sql,Maven,False,False,0s
JJSearchViewAnim,Gradle,N/A,N/A,N/A
500px-android-blur,Gradle,False,False,0s
CircleIndicator,Gradle,False,False,0s
ExpandableTextView,Gradle,False,False,0s
SuperSLiM,Gradle,False,False,0s
javacpp,Maven,True,True,22s
LollipopShowcase,Gradle,N/A,N/A,N/A
CircularFloatingActionMenu,Gradle,False,False,0s
Terasology,Gradle,False,False,0s
android-maps-utils,Gradle,False,False,0s
datetimepicker,Gradle,N/A,N/A,N/A
weixin-java-tools,Maven,True,False,10s
XRecyclerView,Gradle,False,False,0s
RecyclerViewSnap,Gradle,False,False,0s
shimmer-android,Gradle,False,False,0s
joda-time-android,Gradle,False,False,0s
ViewPagerCards,Gradle,False,False,0s
jersey,Maven,True,False,17m26s
android-sqlite-asset-helper,Gradle,False,False,0s
spring-security-oauth,Maven,True,False,13s
MaterialDialog,Gradle,False,False,0s
gephi,Maven,True,True,56s
flink,Maven,True,True,8m0s
SpringIndicator,Gradle,N/A,N/A,N/A
elasticsearch-jdbc,Gradle,False,False,0s
vectalign,Maven,True,True,2s
Android-ItemTouchHelper-Demo,Gradle,False,False,0s
NotBoringActionBar,Gradle,N/A,N/A,N/A
RxJavaSamples,Gradle,False,False,0s
BottomSheet,Gradle,N/A,N/A,N/A
aws-sdk-java,Maven,True,True,3m32s
robovm,Maven,True,True,11s
blade,Maven,True,False,4s
gs-collections,Maven,True,False,10s
StaggeredGridView,Maven,False,False,0s
Mycat-Server,Maven,False,False,0s
tiger,Gradle,False,False,0s
zuul,Gradle,False,False,0s
mongo-java-driver,Gradle,False,False,0s
Activiti,Maven,True,True,4m5s
tape,Gradle,False,False,0s
redisson,Maven,True,True,1s
elasticsearch-analysis-ik,Maven,True,True,2s
material-ripple,Gradle,False,False,0s
Rosie,Gradle,False,False,0s
network-connection-class,Gradle,False,False,0s
solo,Maven,True,True,16s
easypermissions,Gradle,False,False,0s
flyway,Maven,False,False,0s
FastDev4Android,Gradle,False,False,0s
helios,Maven,True,False,1m51s
AnimationEasingFunctions,Gradle,False,False,0s
LikeButton,Gradle,False,False,0s
BoomMenu,Gradle,N/A,N/A,N/A
JKeyboardPanelSwitch,Gradle,False,False,0s
Fragmentation,Gradle,False,False,0s
TextSurface,Gradle,False,False,0s
Android-Image-Cropper,Gradle,False,False,0s
MinecraftForge,Gradle,False,False,0s
Android-Boilerplate,Gradle,False,False,0s
WoWoViewPager,Gradle,N/A,N/A,N/A
FlipViewPager.Draco,Gradle,False,False,0s
android-PullRefreshLayout,Gradle,False,False,0s
EffectiveAndroid,Gradle,False,False,0s
ToggleButton,Gradle,False,False,0s
android-shape-imageview,Gradle,False,False,0s
MaterialShowcaseView,Gradle,False,False,0s
gremlin,Maven,False,False,0s
Shimmer-android,Gradle,False,False,0s
HanLP,Maven,True,False,14s
discreteSeekBar,Gradle,False,False,0s
AndroidTagGroup,Gradle,N/A,N/A,N/A
disconf,Maven,True,True,6s
disunity,Maven,True,True,3s
AboutLibraries,Gradle,False,False,0s
CustomActivityOnCrash,Gradle,False,False,0s
